Basis,Method,X,Angle,Energy
dz,mp2,1.0,A,-0.7824768460859555
dz,mp3,1.0,A,-0.0344645617071315
dz,mp2,1.0,AB,-1.575876757381128
dz,mp3,1.0,AB,-0.06512131656131459
dz,mp2,1.0,Acp,-0.783194373274811
dz,mp3,1.0,Acp,-0.034320036196431807
dz,mp2,1.0,Acpgrid,-0.783194373274811
dz,mp3,1.0,Acpgrid,-0.034320036196431807
dz,mp2,1.0,B,-0.7824769300244232
dz,mp3,1.0,B,-0.034464596389020725
dz,mp2,1.0,Bcp,-0.7831940411442914
dz,mp3,1.0,Bcp,-0.03432007618134317
dz,mp2,1.0,Bcpgrid,-0.7831940411442914
dz,mp3,1.0,Bcpgrid,-0.03432007618134317
dz,mp2a,1.0,A,-0.757662657935381
dz,mp2b,1.0,A,-0.7738853723687809
dz,mp3b,1.0,A,-0.03036665900871291
dz,mp3d,1.0,A,-0.03606648430507725
dz,mp2a,1.0,AB,-1.5251625753760294
dz,mp2b,1.0,AB,-1.5591562045618808
dz,mp3b,1.0,AB,-0.05774206289377398
dz,mp3d,1.0,AB,-0.06935884361582248
dz,mp2a,1.0,Acp,-0.7590810442573003
dz,mp2b,1.0,Acp,-0.7756571189578785
dz,mp3b,1.0,Acp,0.4032908545138133
dz,mp3d,1.0,Acp,0.39785417867115586
dz,mp2a,1.0,Acpgrid,-0.7539808041821034
dz,mp2b,1.0,Acpgrid,-0.7703560737339893
dz,mp3b,1.0,Acpgrid,0.029800124473709944
dz,mp3d,1.0,Acpgrid,0.023912411640057404
dz,mp2a,1.0,B,-0.7570948262526547
dz,mp2b,1.0,B,-0.7732737490822337
dz,mp3b,1.0,B,-0.030383203800725886
dz,mp3d,1.0,B,-0.03608992333658706
dz,mp2a,1.0,Bcp,-0.7585306793466271
dz,mp2b,1.0,Bcp,-0.7750633064475589
dz,mp3b,1.0,Bcp,0.4027352937843069
dz,mp3d,1.0,Bcp,0.39730463035929
dz,mp2a,1.0,Bcpgrid,-0.7539803675894161
dz,mp2b,1.0,Bcpgrid,-0.7703550625816775
dz,mp3b,1.0,Bcpgrid,0.029798360945538283
dz,mp3d,1.0,Bcpgrid,0.023910597160740343
dz,mp2a,1.2,A,-0.7691861523155402
dz,mp2b,1.2,A,-0.7849437006090365
dz,mp3b,1.2,A,-0.03088321161620719
dz,mp3d,1.2,A,-0.036378125382227386
dz,mp2a,1.2,AB,-1.5504197995699758
dz,mp2b,1.2,AB,-1.582578524321871
dz,mp3b,1.2,AB,-0.057440729435003196
dz,mp3d,1.2,AB,-0.06849359470431593
dz,mp2a,1.2,Acp,-0.7704148203847274
dz,mp2b,1.2,Acp,-0.7863388633687567
dz,mp3b,1.2,Acp,0.41421298582182914
dz,mp3d,1.2,Acp,0.4089144220672075
dz,mp2a,1.2,Acpgrid,-0.769294949526667
dz,mp2b,1.2,Acpgrid,-0.7851265165333488
dz,mp3b,1.2,Acpgrid,-0.01384552215407614
dz,mp3d,1.2,Acpgrid,-0.019048615925738588
dz,mp2a,1.2,B,-0.7688641247380399
dz,mp2b,1.2,B,-0.7845986507624814
dz,mp3b,1.2,B,-0.03071377007846375
dz,mp3d,1.2,B,-0.03621830282576713
dz,mp2a,1.2,Bcp,-0.770446885666175
dz,mp2b,1.2,Bcp,-0.786281492056762
dz,mp3b,1.2,Bcp,0.41417509527979024
dz,mp3d,1.2,Bcp,0.40889231825838296
dz,mp2a,1.2,Bcpgrid,-0.7693815092813587
dz,mp2b,1.2,Bcpgrid,-0.7852287792138433
dz,mp3b,1.2,Bcpgrid,-0.011915478393560136
dz,mp3d,1.2,Bcpgrid,-0.017101920560990136
dz,mp2a,1.4,A,-0.7756450899868605
dz,mp2b,1.4,A,-0.7895640579751646
dz,mp3b,1.4,A,-0.030587247099970252
dz,mp3d,1.4,A,-0.03558515255466413
dz,mp2a,1.4,AB,-1.5633587179516915
dz,mp2b,1.4,AB,-1.5919483361519942
dz,mp3b,1.4,AB,-0.05824314585813073
dz,mp3d,1.4,AB,-0.06846727028264993
dz,mp2a,1.4,Acp,-0.7773161580485399
dz,mp2b,1.4,Acp,-0.7910836270168836
dz,mp3b,1.4,Acp,0.41861462091011825
dz,mp3d,1.4,Acp,0.4138043977028561
dz,mp2a,1.4,Acpgrid,-0.7773328176142349
dz,mp2b,1.4,Acpgrid,-0.7914075682418233
dz,mp3b,1.4,Acpgrid,-0.02353877093984652
dz,mp3d,1.4,Acpgrid,-0.028398502807835
dz,mp2a,1.4,B,-0.7760696588570442
dz,mp2b,1.4,B,-0.7898721153085108
dz,mp3b,1.4,B,-0.030655032988029574
dz,mp3d,1.4,B,-0.035619915479063485
dz,mp2a,1.4,Bcp,-0.7775065495647467
dz,mp2b,1.4,Bcp,-0.7913075996593227
dz,mp3b,1.4,Bcp,0.4188577501761851
dz,mp3d,1.4,Bcp,0.4140084980114725
dz,mp2a,1.4,Bcpgrid,-0.7768451007992883
dz,mp2b,1.4,Bcpgrid,-0.7908393422739755
dz,mp3b,1.4,Bcpgrid,-0.023593691482016774
dz,mp3d,1.4,Bcpgrid,-0.028467588024772866
dz,mp2a,1.6,A,-0.7810678930863981
dz,mp2b,1.6,A,-0.7922687839008153
dz,mp3b,1.6,A,-0.031766109717007995
dz,mp3d,1.6,A,-0.03617709118187158
dz,mp2a,1.6,AB,-1.5737520781898713
dz,mp2b,1.6,AB,-1.5972890854437911
dz,mp3b,1.6,AB,-0.059575288445693486
dz,mp3d,1.6,AB,-0.0687202462364544
dz,mp2a,1.6,Acp,-0.7819779253399375
dz,mp2b,1.6,Acp,-0.7930592403312243
dz,mp3b,1.6,Acp,0.4207615743616561
dz,mp3d,1.6,Acp,0.4165974082598301
dz,mp2a,1.6,Acpgrid,-0.7823757413219472
