Basis,Method,X,Angle,Energy
dz,mp2,1.0,1,-2.2665367504640668
dz,mp3,1.0,1,-0.03785920166248012
dz,mp2,1.0,2,-2.2672767743226947
dz,mp3,1.0,2,-0.03769123034381854
dz,mp2,1.0,3,-2.268159508580811
dz,mp3,1.0,3,-0.03750800285519051
dz,mp2,1.0,4,-2.269137758727328
dz,mp3,1.0,4,-0.03731647438857897
dz,mp2,1.0,5,-2.2704450401062926
dz,mp3,1.0,5,-0.037066171790734084
dz,mp2,1.0,6,-2.272084788888403
dz,mp3,1.0,6,-0.03670333925942885
dz,mp2,1.0,7,-2.274487419005929
dz,mp3,1.0,7,-0.036140289405120284
dz,mp2,1.0,8,-2.274786455666005
dz,mp3,1.0,8,-0.03679465334601368
dz,mp2,1.0,9,-2.2765810911799806
dz,mp3,1.0,9,-0.03643785269653855
dz,mp2,1.0,10,-2.278699638487157
dz,mp3,1.0,10,-0.036006000682256456
dz,mp2,1.0,11,-2.2810407397765533
dz,mp3,1.0,11,-0.03546933246345616
dz,mp2,1.0,12,-2.288009078165205
dz,mp3,1.0,12,-0.03312383877314842
dz,mp2,1.0,13,-2.2898262877404045
dz,mp3,1.0,13,-0.03238588481606423
dz,mp2,1.0,14,-2.299751606600366
dz,mp3,1.0,14,-0.02875710583196586
dz,mp2a,1.0,1,-2.175618350910329
dz,mp2b,1.0,1,-2.2165032644542566
dz,mp3b,1.0,1,-0.025693459585967388
dz,mp3d,1.0,1,-0.04407434893707304
dz,mp2a,1.0,2,-2.16829402730871
dz,mp2b,1.0,2,-2.208441650222211
dz,mp3b,1.0,2,-0.0274250655820604
dz,mp3d,1.0,2,-0.04582492222730192
dz,mp2a,1.0,3,-2.171136417240823
dz,mp2b,1.0,3,-2.211718852977263
dz,mp3b,1.0,3,-0.026261999466126007
dz,mp3d,1.0,3,-0.044728892847389984
dz,mp2a,1.0,4,-2.173561796407548
dz,mp2b,1.0,4,-2.2148029504386293
dz,mp3b,1.0,4,-0.026350161789300913
dz,mp3d,1.0,4,-0.04484855633020085
dz,mp2a,1.0,5,-2.173011742150091
dz,mp2b,1.0,5,-2.214292622004081
dz,mp3b,1.0,5,-0.02531442551086857
dz,mp3d,1.0,5,-0.04389346142181136
dz,mp2a,1.0,6,-2.1741874489376625
dz,mp2b,1.0,6,-2.2157429781677975
dz,mp3b,1.0,6,-0.02538168775823299
dz,mp3d,1.0,6,-0.04388672637443031
dz,mp2a,1.0,7,-2.1824581072223186
dz,mp2b,1.0,7,-2.2239672801356978
dz,mp3b,1.0,7,-0.02485724478787374
dz,mp3d,1.0,7,-0.04308128354341936
dz,mp2a,1.0,8,-2.1788592118756576
dz,mp2b,1.0,8,-2.220064465899743
dz,mp3b,1.0,8,-0.027771493844319733
dz,mp3d,1.0,8,-0.0462226731209098
dz,mp2a,1.0,9,-2.1779816637037515
dz,mp2b,1.0,9,-2.21935719886518
dz,mp3b,1.0,9,-0.027402345586938576
dz,mp3d,1.0,9,-0.0458750488319587
dz,mp2a,1.0,10,-2.1771431969232955
dz,mp2b,1.0,10,-2.2188130013881966
dz,mp3b,1.0,10,-0.02740238360217287
dz,mp3d,1.0,10,-0.045871242449389144
dz,mp2a,1.0,11,-2.171579097735923
dz,mp2b,1.0,11,-2.2133057967594487
dz,mp3b,1.0,11,-0.029147320354252354
dz,mp3d,1.0,11,-0.04761805428881538
dz,mp2a,1.0,12,-2.1784835721089593
dz,mp2b,1.0,12,-2.220837700908665
dz,mp3b,1.0,12,-0.027356958453735786
dz,mp3d,1.0,12,-0.04594616361064657
dz,mp2a,1.0,13,-2.184685344896978
dz,mp2b,1.0,13,-2.2267838982326076
dz,mp3b,1.0,13,-0.023855679304556093
dz,mp3d,1.0,13,-0.04254509231238268
dz,mp2a,1.0,14,-2.1991896408204443
dz,mp2b,1.0,14,-2.24178058421874
dz,mp3b,1.0,14,-0.021249067044273623
dz,mp3d,1.0,14,-0.040076984090864604
dz,mp2a,1.2,1,-2.2282000653357272
dz,mp2b,1.2,1,-2.266496263668839
dz,mp3b,1.2,1,-0.026225947986455805
dz,mp3d,1.2,1,-0.04339134337182127
dz,mp2a,1.2,2,-2.2253496382318945
dz,mp2b,1.2,2,-2.264025267943936
dz,mp3b,1.2,2,-0.02549749779702934
dz,mp3d,1.2,2,-0.042828929765668405
dz,mp2a,1.2,3,-2.2303882517960614
dz,mp2b,1.2,3,-2.2689339693248423
dz,mp3b,1.2,3,-0.02550224608969598
dz,mp3d,1.2,3,-0.04274611282157986
dz,mp2a,1.2,4,-2.2326103795640986
dz,mp2b,1.2,4,-2.2711522852788475
dz,mp3b,1.2,4,-0.025669981295939226
dz,mp3d,1.2,4,-0.04284375903277518
dz,mp2a,1.2,5,-2.2333170061350662
dz,mp2b,1.2,5,-2.2721970311350477
dz,mp3b,1.2,5,-0.026018397964903905
dz,mp3d,1.2,5,-0.043370239182651205
dz,mp2a,1.2,6,-2.233613306239799
dz,mp2b,1.2,6,-2.272821169842884
dz,mp3b,1.2,6,-0.025041297875519508
dz,mp3d,1.2,6,-0.042489105338537336
dz,mp2a,1.2,7,-2.234664951072696
dz,mp2b,1.2,7,-2.27366347490747
dz,mp3b,1.2,7,-0.02466740069979989
dz,mp3d,1.2,7,-0.042043527043409384
dz,mp2a,1.2,8,-2.230656337273329
dz,mp2b,1.2,8,-2.2700268751979333
dz,mp3b,1.2,8,-0.026330084991325997
dz,mp3d,1.2,8,-0.04391639782616852
dz,mp2a,1.2,9,-2.2368313633631236
dz,mp2b,1.2,9,-2.276258886858129
dz,mp3b,1.2,9,-0.024969152093876762
dz,mp3d,1.2,9,-0.042371915431581586
dz,mp2a,1.2,10,-2.242151723906872
dz,mp2b,1.2,10,-2.2819803673015344
dz,mp3b,1.2,10,-0.024280918377792393
dz,mp3d,1.2,10,-0.04175493905580335
dz,mp2a,1.2,11,-2.2403042984026307
dz,mp2b,1.2,11,-2.2805793680651045
dz,mp3b,1.2,11,-0.0250404772271903
dz,mp3d,1.2,11,-0.04260711708731699
dz,mp2a,1.2,12,-2.2455809975367
dz,mp2b,1.2,12,-2.2856944734440003
dz,mp3b,1.2,12,-0.0230907853725299
dz,mp3d,1.2,12,-0.040617124710906005
dz,mp2a,1.2,13,-2.2530354212408668
dz,mp2b,1.2,13,-2.2930858549874267
dz,mp3b,1.2,13,-0.022296125976670383
