Basis,Method,X,Angle,Energy
dz,mp2,1.0,A,-1.330772858927122
dz,mp3,1.0,A,-0.024014481917110565
dz,mp2,1.0,AB,-2.7787235846226412
dz,mp3,1.0,AB,-0.03842304011304298
dz,mp2,1.0,Acp,-1.333459158424195
dz,mp3,1.0,Acp,-0.02336019167700211
dz,mp2,1.0,Acpgrid,-1.333459158424195
dz,mp3,1.0,Acpgrid,-0.02336019167700211
dz,mp2,1.0,B,-1.4383704694167787
dz,mp3,1.0,B,-0.01653175737687316
dz,mp2,1.0,Bcp,-1.440643882199891
dz,mp3,1.0,Bcp,-0.016017260754518984
dz,mp2,1.0,Bcpgrid,-1.440643882199891
dz,mp3,1.0,Bcpgrid,-0.016017260754518984
dz,mp2a,1.0,A,-1.271312034371011
dz,mp2b,1.0,A,-1.2946952530451261
dz,mp3b,1.0,A,-0.019529171698636147
dz,mp3d,1.0,A,-0.030349442096078955
dz,mp2a,1.0,AB,-2.6583751149351724
dz,mp2b,1.0,AB,-2.7113278355611494
dz,mp3b,1.0,AB,-0.031229925948155574
dz,mp3d,1.0,AB,-0.05447776395162754
dz,mp2a,1.0,Acp,-1.2788895007047656
dz,mp2b,1.0,Acp,-1.3028441125399253
dz,mp3b,1.0,Acp,0.7001014974271053
dz,mp3d,1.0,Acp,0.6910754042497652
dz,mp2a,1.0,Acpgrid,-1.2790100119670584
dz,mp2b,1.0,Acpgrid,-1.3030153977903352
dz,mp3b,1.0,Acpgrid,0.10671157927453827
dz,mp3d,1.0,Acpgrid,0.09476854156532055
dz,mp2a,1.0,B,-1.395938623793656
dz,mp2b,1.0,B,-1.423836480056504
dz,mp3b,1.0,B,-0.012596691878916808
dz,mp3d,1.0,B,-0.024505270569790877
dz,mp2a,1.0,Bcp,-1.402477835432691
dz,mp2b,1.0,Bcp,-1.4310780559634244
dz,mp3b,1.0,Bcp,0.7842384367252848
dz,mp3d,1.0,Bcp,0.7740946861570126
dz,mp2a,1.0,Bcpgrid,-1.4005158779938474
dz,mp2b,1.0,Bcpgrid,-1.4288113801872324
dz,mp3b,1.0,Bcpgrid,0.4319626662014961
dz,mp3d,1.0,Bcpgrid,0.4197417035968464
dz,mp2a,1.2,A,-1.3091705438990273
dz,mp2b,1.2,A,-1.3311416629807402
dz,mp3b,1.2,A,-0.017346439965448296
dz,mp3d,1.2,A,-0.027414589616226837
dz,mp2a,1.2,AB,-2.7347854631387176
dz,mp2b,1.2,AB,-2.7848115792131276
dz,mp3b,1.2,AB,-0.02757186483064955
dz,mp3d,1.2,AB,-0.04925937603872224
dz,mp2a,1.2,Acp,-1.311742534848087
dz,mp2b,1.2,Acp,-1.3340835132408548
dz,mp3b,1.2,Acp,0.7263073408603292
dz,mp3d,1.2,Acp,0.7184488290752223
dz,mp2a,1.2,Acpgrid,-1.3139187916748114
dz,mp2b,1.2,Acpgrid,-1.3360593771374303
dz,mp3b,1.2,Acpgrid,0.010703350722767999
dz,mp3d,1.2,Acpgrid,0.0004449143618208279
dz,mp2a,1.2,B,-1.424179350048803
dz,mp2b,1.2,B,-1.450589367690709
dz,mp3b,1.2,B,-0.010591222687027405
dz,mp3d,1.2,B,-0.021852725633662473
dz,mp2a,1.2,Bcp,-1.4268861447162942
dz,mp2b,1.2,Bcp,-1.4537636514734174
dz,mp3b,1.2,Bcp,0.8058468620882435
dz,mp3d,1.2,Bcp,0.7965350683740529
dz,mp2a,1.2,Bcpgrid,-1.4243761329530724
dz,mp2b,1.2,Bcpgrid,-1.451363522622729
dz,mp3b,1.2,Bcpgrid,0.052081850974478455
dz,mp3d,1.2,Bcpgrid,0.04017877726553172
dz,mp2a,1.4,A,-1.3198884277904739
dz,mp2b,1.4,A,-1.3398293598880617
dz,mp3b,1.4,A,-0.018421499085050086
dz,mp3d,1.4,A,-0.02797328671920815
dz,mp2a,1.4,AB,-2.7566388834787605
dz,mp2b,1.4,AB,-2.802231541357197
dz,mp3b,1.4,AB,-0.028643076405596768
dz,mp3d,1.4,AB,-0.04926397699937074
dz,mp2a,1.4,Acp,-1.32271075064511
dz,mp2b,1.4,Acp,-1.3430981856187514
dz,mp3b,1.4,Acp,0.7335871306675814
dz,mp3d,1.4,Acp,0.7264064128580853
dz,mp2a,1.4,Acpgrid,-1.3235641584520261
dz,mp2b,1.4,Acpgrid,-1.3436112194066823
dz,mp3b,1.4,Acpgrid,-0.015077812392540066
dz,mp3d,1.4,Acpgrid,-0.024748684866537904
dz,mp2a,1.4,B,-1.4306591533499031
dz,mp2b,1.4,B,-1.4542858359950472
dz,mp3b,1.4,B,-0.011231676881566247
dz,mp3d,1.4,B,-0.021660998672449333
dz,mp2a,1.4,Bcp,-1.4334607946107698
dz,mp2b,1.4,Bcp,-1.45739051465527
dz,mp3b,1.4,Bcp,0.8091307372818628
dz,mp3d,1.4,Bcp,0.8004995876513337
dz,mp2a,1.4,Bcpgrid,-1.4330966740924675
dz,mp2b,1.4,Bcpgrid,-1.4570965778910627
dz,mp3b,1.4,Bcpgrid,0.0012668875465908919
dz,mp3d,1.4,Bcpgrid,-0.009223599621324088
dz,mp2a,1.6,A,-1.3261788126216318
dz,mp2b,1.6,A,-1.3427088447441342
dz,mp3b,1.6,A,-0.02026535810214382
dz,mp3d,1.6,A,-0.029078434423118166
dz,mp2a,1.6,AB,-2.769310747134816
dz,mp2b,1.6,AB,-2.8078973848112447
dz,mp3b,1.6,AB,-0.029993677244573164
dz,mp3d,1.6,AB,-0.04875192673198758
dz,mp2a,1.6,Acp,-1.3296834817444645
dz,mp2b,1.6,Acp,-1.3467806030575429
dz,mp3b,1.6,Acp,0.7360488747008742
dz,mp3d,1.6,Acp,0.7296904564268161
dz,mp2a,1.6,Acpgrid,-1.3299333659350348
dz,mp2b,1.6,Acpgrid,-1.3467220973518883
dz,mp3b,1.6,Acpgrid,-0.01437296742018257
dz,mp3d,1.6,Acpgrid,-0.023298731132965614
dz,mp2a,1.6,B,-1.4353573244081788
dz,mp2b,1.6,B,-1.4552310754305986
dz,mp3b,1.6,B,-0.012338869723857504
dz,mp3d,1.6,B,-0.021862402603953862
dz,mp2a,1.6,Bcp,-1.4381986729142373
dz,mp2b,1.6,Bcp,-1.4580968555263154
dz,mp3b,1.6,Bcp,0.8094803439036881
dz,mp3d,1.6,Bcp,0.8019022008957466
dz,mp2a,1.6,Bcpgrid,-1.4380889128384173
dz,mp2b,1.6,Bcpgrid,-1.4576905039143886
dz,mp3b,1.6,Bcpgrid,-0.008132241199429902
dz,mp3d,1.6,Bcpgrid,-0.017603989282178267
