Basis,Method,X,Angle,Energy
dz,mp2,1.0,A,nan
dz,mp3,1.0,A,nan
dz,mp2,1.0,AB,nan
dz,mp3,1.0,AB,nan
dz,mp2,1.0,Acp,nan
dz,mp3,1.0,Acp,nan
dz,mp2,1.0,Acpgrid,nan
dz,mp3,1.0,Acpgrid,nan
dz,mp2,1.0,B,nan
dz,mp3,1.0,B,nan
dz,mp2,1.0,Bcp,nan
dz,mp3,1.0,Bcp,nan
dz,mp2,1.0,Bcpgrid,nan
dz,mp3,1.0,Bcpgrid,nan
dz,mp2a,1.0,A,nan
dz,mp2b,1.0,A,nan
dz,mp3b,1.0,A,nan
dz,mp3d,1.0,A,nan
dz,mp2a,1.0,AB,nan
dz,mp2b,1.0,AB,nan
dz,mp3b,1.0,AB,nan
dz,mp3d,1.0,AB,nan
dz,mp2a,1.0,Acp,nan
dz,mp2b,1.0,Acp,nan
dz,mp3b,1.0,Acp,nan
dz,mp3d,1.0,Acp,nan
dz,mp2a,1.0,Acpgrid,nan
dz,mp2b,1.0,Acpgrid,nan
dz,mp3b,1.0,Acpgrid,nan
dz,mp3d,1.0,Acpgrid,nan
dz,mp2a,1.0,B,nan
dz,mp2b,1.0,B,nan
dz,mp3b,1.0,B,nan
dz,mp3d,1.0,B,nan
dz,mp2a,1.0,Bcp,nan
dz,mp2b,1.0,Bcp,nan
dz,mp3b,1.0,Bcp,nan
dz,mp3d,1.0,Bcp,nan
dz,mp2a,1.0,Bcpgrid,nan
dz,mp2b,1.0,Bcpgrid,nan
dz,mp3b,1.0,Bcpgrid,nan
dz,mp3d,1.0,Bcpgrid,nan
dz,mp2a,1.2,A,nan
dz,mp2b,1.2,A,nan
dz,mp3b,1.2,A,nan
dz,mp3d,1.2,A,nan
dz,mp2a,1.2,AB,nan
dz,mp2b,1.2,AB,nan
dz,mp3b,1.2,AB,nan
dz,mp3d,1.2,AB,nan
dz,mp2a,1.2,Acp,nan
dz,mp2b,1.2,Acp,nan
dz,mp3b,1.2,Acp,nan
dz,mp3d,1.2,Acp,nan
dz,mp2a,1.2,Acpgrid,nan
dz,mp2b,1.2,Acpgrid,nan
dz,mp3b,1.2,Acpgrid,nan
dz,mp3d,1.2,Acpgrid,nan
dz,mp2a,1.2,B,nan
dz,mp2b,1.2,B,nan
dz,mp3b,1.2,B,nan
dz,mp3d,1.2,B,nan
dz,mp2a,1.2,Bcp,nan
dz,mp2b,1.2,Bcp,nan
dz,mp3b,1.2,Bcp,nan
dz,mp3d,1.2,Bcp,nan
dz,mp2a,1.2,Bcpgrid,nan
dz,mp2b,1.2,Bcpgrid,nan
dz,mp3b,1.2,Bcpgrid,nan
dz,mp3d,1.2,Bcpgrid,nan
dz,mp2a,1.4,A,nan
dz,mp2b,1.4,A,nan
dz,mp3b,1.4,A,nan
dz,mp3d,1.4,A,nan
dz,mp2a,1.4,AB,nan
dz,mp2b,1.4,AB,nan
dz,mp3b,1.4,AB,nan
dz,mp3d,1.4,AB,nan
dz,mp2a,1.4,Acp,nan
dz,mp2b,1.4,Acp,nan
dz,mp3b,1.4,Acp,nan
dz,mp3d,1.4,Acp,nan
dz,mp2a,1.4,Acpgrid,nan
dz,mp2b,1.4,Acpgrid,nan
dz,mp3b,1.4,Acpgrid,nan
dz,mp3d,1.4,Acpgrid,nan
dz,mp2a,1.4,B,nan
dz,mp2b,1.4,B,nan
dz,mp3b,1.4,B,nan
dz,mp3d,1.4,B,nan
dz,mp2a,1.4,Bcp,nan
dz,mp2b,1.4,Bcp,nan
dz,mp3b,1.4,Bcp,nan
dz,mp3d,1.4,Bcp,nan
dz,mp2a,1.4,Bcpgrid,nan
dz,mp2b,1.4,Bcpgrid,nan
dz,mp3b,1.4,Bcpgrid,nan
dz,mp3d,1.4,Bcpgrid,nan
dz,mp2a,1.6,A,nan
dz,mp2b,1.6,A,nan
dz,mp3b,1.6,A,nan
dz,mp3d,1.6,A,nan
dz,mp2a,1.6,AB,nan
dz,mp2b,1.6,AB,nan
dz,mp3b,1.6,AB,nan
dz,mp3d,1.6,AB,nan
dz,mp2a,1.6,Acp,nan
dz,mp2b,1.6,Acp,nan
dz,mp3b,1.6,Acp,nan
dz,mp3d,1.6,Acp,nan
dz,mp2a,1.6,Acpgrid,nan
dz,mp2b,1.6,Acpgrid,nan
dz,mp3b,1.6,Acpgrid,nan
dz,mp3d,1.6,Acpgrid,nan
dz,mp2a,1.6,B,nan
dz,mp2b,1.6,B,nan
dz,mp3b,1.6,B,nan
dz,mp3d,1.6,B,nan
dz,mp2a,1.6,Bcp,nan
dz,mp2b,1.6,Bcp,nan
dz,mp3b,1.6,Bcp,nan
dz,mp3d,1.6,Bcp,nan
dz,mp2a,1.6,Bcpgrid,nan
dz,mp2b,1.6,Bcpgrid,nan
dz,mp3b,1.6,Bcpgrid,nan
dz,mp3d,1.6,Bcpgrid,nan
dz,mp2a,1.8,A,nan
dz,mp2b,1.8,A,nan
dz,mp3b,1.8,A,nan
dz,mp3d,1.8,A,nan
dz,mp2a,1.8,AB,nan
dz,mp2b,1.8,AB,nan
dz,mp3b,1.8,AB,nan
dz,mp3d,1.8,AB,nan
dz,mp2a,1.8,Acp,nan
dz,mp2b,1.8,Acp,nan
dz,mp3b,1.8,Acp,nan
dz,mp3d,1.8,Acp,nan
dz,mp2a,1.8,Acpgrid,nan
