Basis,Method,X,Angle,Energy
dz,mp2,1.0,A,
dz,mp3,1.0,A,
dz,mp2,1.0,AB,
dz,mp3,1.0,AB,
dz,mp2,1.0,Acp,
dz,mp3,1.0,Acp,
dz,mp2,1.0,Acpgrid,
dz,mp3,1.0,Acpgrid,
dz,mp2,1.0,B,
dz,mp3,1.0,B,
dz,mp2,1.0,Bcp,
dz,mp3,1.0,Bcp,
dz,mp2,1.0,Bcpgrid,
dz,mp3,1.0,Bcpgrid,
dz,mp2a,1.0,A,
dz,mp2b,1.0,A,
dz,mp3b,1.0,A,
dz,mp3d,1.0,A,
dz,mp2a,1.0,AB,
dz,mp2b,1.0,AB,
dz,mp3b,1.0,AB,
dz,mp3d,1.0,AB,
dz,mp2a,1.0,Acp,
dz,mp2b,1.0,Acp,
dz,mp3b,1.0,Acp,
dz,mp3d,1.0,Acp,
dz,mp2a,1.0,Acpgrid,
dz,mp2b,1.0,Acpgrid,
dz,mp3b,1.0,Acpgrid,
dz,mp3d,1.0,Acpgrid,
dz,mp2a,1.0,B,
dz,mp2b,1.0,B,
dz,mp3b,1.0,B,
dz,mp3d,1.0,B,
dz,mp2a,1.0,Bcp,
dz,mp2b,1.0,Bcp,
dz,mp3b,1.0,Bcp,
dz,mp3d,1.0,Bcp,
dz,mp2a,1.0,Bcpgrid,
dz,mp2b,1.0,Bcpgrid,
dz,mp3b,1.0,Bcpgrid,
dz,mp3d,1.0,Bcpgrid,
dz,mp2a,1.2,A,
dz,mp2b,1.2,A,
dz,mp3b,1.2,A,
dz,mp3d,1.2,A,
dz,mp2a,1.2,AB,
dz,mp2b,1.2,AB,
dz,mp3b,1.2,AB,
dz,mp3d,1.2,AB,
dz,mp2a,1.2,Acp,
dz,mp2b,1.2,Acp,
dz,mp3b,1.2,Acp,
dz,mp3d,1.2,Acp,
dz,mp2a,1.2,Acpgrid,
dz,mp2b,1.2,Acpgrid,
dz,mp3b,1.2,Acpgrid,
dz,mp3d,1.2,Acpgrid,
dz,mp2a,1.2,B,
dz,mp2b,1.2,B,
dz,mp3b,1.2,B,
dz,mp3d,1.2,B,
dz,mp2a,1.2,Bcp,
dz,mp2b,1.2,Bcp,
dz,mp3b,1.2,Bcp,
dz,mp3d,1.2,Bcp,
dz,mp2a,1.2,Bcpgrid,
dz,mp2b,1.2,Bcpgrid,
dz,mp3b,1.2,Bcpgrid,
dz,mp3d,1.2,Bcpgrid,
dz,mp2a,1.4,A,
dz,mp2b,1.4,A,
dz,mp3b,1.4,A,
dz,mp3d,1.4,A,
dz,mp2a,1.4,AB,
dz,mp2b,1.4,AB,
dz,mp3b,1.4,AB,
dz,mp3d,1.4,AB,
dz,mp2a,1.4,Acp,
dz,mp2b,1.4,Acp,
dz,mp3b,1.4,Acp,
dz,mp3d,1.4,Acp,
dz,mp2a,1.4,Acpgrid,
dz,mp2b,1.4,Acpgrid,
dz,mp3b,1.4,Acpgrid,
dz,mp3d,1.4,Acpgrid,
dz,mp2a,1.4,B,
dz,mp2b,1.4,B,
dz,mp3b,1.4,B,
dz,mp3d,1.4,B,
dz,mp2a,1.4,Bcp,
dz,mp2b,1.4,Bcp,
