Basis,Method,X,Angle,Energy
dz,mp2,1.0,A,-1.1657410555950791
dz,mp3,1.0,A,-0.025936228274713133
dz,mp2,1.0,AB,-2.7925033665584094
dz,mp3,1.0,AB,-0.03777141426880154
dz,mp2,1.0,Acp,-1.1669190952979567
dz,mp3,1.0,Acp,-0.025738555518011946
dz,mp2,1.0,Acpgrid,-1.1669190952979567
dz,mp3,1.0,Acpgrid,-0.025738555518011946
dz,mp2,1.0,B,-1.616653873786618
dz,mp3,1.0,B,-0.013619247523371644
dz,mp2,1.0,Bcp,-1.620909387877206
dz,mp3,1.0,Bcp,-0.012733172460977169
dz,mp2,1.0,Bcpgrid,-1.620909387877206
dz,mp3,1.0,Bcpgrid,-0.012733172460977169
dz,mp2a,1.0,A,-1.1228643597941148
dz,mp2b,1.0,A,-1.144494872939797
dz,mp3b,1.0,A,-0.021761492506061353
dz,mp3d,1.0,A,-0.03132250249392603
dz,mp2a,1.0,AB,-2.6725730644669494
dz,mp2b,1.0,AB,-2.725609536904492
dz,mp3b,1.0,AB,-0.03292092285592124
dz,mp3d,1.0,AB,-0.05637328011635351
dz,mp2a,1.0,Acp,-1.1185616471312718
dz,mp2b,1.0,Acp,-1.1403361995812948
dz,mp3b,1.0,Acp,0.6036756459543802
dz,mp3d,1.0,Acp,0.5955348940650737
dz,mp2a,1.0,Acpgrid,-1.1227920475443218
dz,mp2b,1.0,Acpgrid,-1.1443922729582505
dz,mp3b,1.0,Acpgrid,0.29579807488767135
dz,mp3d,1.0,Acpgrid,0.28653736659805196
dz,mp2a,1.0,B,-1.5512634389389084
dz,mp2b,1.0,B,-1.5817558449863232
dz,mp3b,1.0,B,-0.011971901759035924
dz,mp3d,1.0,B,-0.025831528508568624
dz,mp2a,1.0,Bcp,-1.5571827447915982
dz,mp2b,1.0,Bcp,-1.588547529268992
dz,mp3b,1.0,Bcp,0.8661419217763868
dz,mp3d,1.0,Bcp,0.8543707824163728
dz,mp2a,1.0,Bcpgrid,-1.5618218115330982
dz,mp2b,1.0,Bcpgrid,-1.593275103613027
dz,mp3b,1.0,Bcpgrid,0.4249350011666004
dz,mp3d,1.0,Bcpgrid,0.4109752180651334
dz,mp2a,1.2,A,-1.1463201274918449
dz,mp2b,1.2,A,-1.1665294425090045
dz,mp3b,1.2,A,-0.02077057747762945
dz,mp3d,1.2,A,-0.02970097451121563
dz,mp2a,1.2,AB,-2.7553017106627227
dz,mp2b,1.2,AB,-2.8058711218815544
dz,mp3b,1.2,AB,-0.027595198217463174
dz,mp3d,1.2,AB,-0.04937979046931451
dz,mp2a,1.2,Acp,-1.1478862523352218
dz,mp2b,1.2,Acp,-1.1683994291735176
dz,mp3b,1.2,Acp,0.6269707818471774
dz,mp3d,1.2,Acp,0.6199549103159163
dz,mp2a,1.2,Acpgrid,-1.147626012154939
dz,mp2b,1.2,Acpgrid,-1.1679725894581008
dz,mp3b,1.2,Acpgrid,0.02444041358961138
dz,mp3d,1.2,Acpgrid,0.01517050738559636
dz,mp2a,1.2,B,-1.5969730948909442
dz,mp2b,1.2,B,-1.6255004485440028
dz,mp3b,1.2,B,-0.007465848678293557
dz,mp3d,1.2,B,-0.020318532042182202
dz,mp2a,1.2,Bcp,-1.599286759704278
dz,mp2b,1.2,Bcp,-1.628187559842495
dz,mp3b,1.2,Bcp,0.9020398016172728
dz,mp3d,1.2,Bcp,0.8919053692151442
dz,mp2a,1.2,Bcpgrid,-1.600176789297727
dz,mp2b,1.2,Bcpgrid,-1.629826539121547
dz,mp3b,1.2,Bcpgrid,0.054154898264557466
dz,mp3d,1.2,Bcpgrid,0.04033514796623627
dz,mp2a,1.4,A,-1.1569461399916334
dz,mp2b,1.4,A,-1.1756703396753436
dz,mp3b,1.4,A,-0.02148282324608687
dz,mp3d,1.4,A,-0.029907447934990603
dz,mp2a,1.4,AB,-2.7739622995642783
dz,mp2b,1.4,AB,-2.8196201902863365
dz,mp3b,1.4,AB,-0.028338730313130472
dz,mp3d,1.4,AB,-0.04886251472596442
dz,mp2a,1.4,Acp,-1.1590061180194762
dz,mp2b,1.4,Acp,-1.1777544946431386
dz,mp3b,1.4,Acp,0.6348145845859132
dz,mp3d,1.4,Acp,0.6284523349037203
dz,mp2a,1.4,Acpgrid,-1.1590360728231235
dz,mp2b,1.4,Acpgrid,-1.177970878525172
dz,mp3b,1.4,Acpgrid,-0.014631518809395824
dz,mp3d,1.4,Acpgrid,-0.023147224104010627
dz,mp2a,1.4,B,-1.607837398139786
dz,mp2b,1.4,B,-1.6342117056220178
dz,mp3b,1.4,B,-0.007565270737737134
dz,mp3d,1.4,B,-0.019767707294924247
dz,mp2a,1.4,Bcp,-1.6118533077774804
dz,mp2b,1.4,Bcp,-1.638313051938487
dz,mp3b,1.4,Bcp,0.9114106786481972
dz,mp3d,1.4,Bcp,0.9020484987615918
dz,mp2a,1.4,Bcpgrid,-1.6116205618992305
dz,mp2b,1.4,Bcpgrid,-1.6385135608652237
dz,mp3b,1.4,Bcpgrid,0.004419411901300574
dz,mp3d,1.4,Bcpgrid,-0.00800732384518249
dz,mp2a,1.6,A,-1.1613758533342033
dz,mp2b,1.6,A,-1.1769585605422426
dz,mp3b,1.6,A,-0.022794761002708733
dz,mp3d,1.6,A,-0.030476998322623017
dz,mp2a,1.6,AB,-2.783260540323498
dz,mp2b,1.6,AB,-2.8224983267035784
dz,mp3b,1.6,AB,-0.030185929517746485
dz,mp3d,1.6,AB,-0.04909515781943913
dz,mp2a,1.6,Acp,-1.1638114012794527
dz,mp2b,1.6,Acp,-1.1795922077668572
dz,mp3b,1.6,Acp,0.6364353703651145
dz,mp3d,1.6,Acp,0.6307621270804751
dz,mp2a,1.6,Acpgrid,-1.163510920715909
dz,mp2b,1.6,Acpgrid,-1.1792155767156656
dz,mp3b,1.6,Acpgrid,-0.021101353480248664
dz,mp3d,1.6,Acpgrid,-0.028847645241165717
dz,mp2a,1.6,B,-1.6120032790608387
dz,mp2b,1.6,B,-1.6344237815696703
dz,mp3b,1.6,B,-0.00889990011979963
dz,mp3d,1.6,B,-0.02009662292392883
dz,mp2a,1.6,Bcp,-1.616188610137025
dz,mp2b,1.6,Bcp,-1.6387593077876224
dz,mp3b,1.6,Bcp,0.9120855501567211
dz,mp3d,1.6,Bcp,0.9036311667194252
dz,mp2a,1.6,Bcpgrid,-1.6157983598072194
dz,mp2b,1.6,Bcpgrid,-1.6385232182778744
dz,mp3b,1.6,Bcpgrid,-0.004010953983134474
dz,mp3d,1.6,Bcpgrid,-0.015238443305439053
dz,mp2a,1.8,A,-1.164612940130033
dz,mp2b,1.8,A,-1.1768557686843775
dz,mp3b,1.8,A,-0.024229329409478972
dz,mp3d,1.8,A,-0.031120169603719064
dz,mp2a,1.8,AB,-2.790636566264153
dz,mp2b,1.8,AB,-2.82198383176138
dz,mp3b,1.8,AB,-0.03285702276612834
dz,mp3d,1.8,AB,-0.04978618248210365
dz,mp2a,1.8,Acp,-1.166174687194736
dz,mp2b,1.8,Acp,-1.1783868233560097
dz,mp3b,1.8,Acp,0.6352954678313296
dz,mp3d,1.8,Acp,0.6304419728731121
dz,mp2a,1.8,Acpgrid,-1.1661224952889033
dz,mp2b,1.8,Acpgrid,-1.1787396533567387
dz,mp3b,1.8,Acpgrid,-0.021872518834516713
dz,mp3d,1.8,Acpgrid,-0.028876319426658192
dz,mp2a,1.8,B,-1.6155812256093074
dz,mp2b,1.8,B,-1.6332910373435738
dz,mp3b,1.8,B,-0.010466205780146925
dz,mp3d,1.8,B,-0.020413533321068877
dz,mp2a,1.8,Bcp,-1.619739499429142
dz,mp2b,1.8,Bcp,-1.6379343513884734
dz,mp3b,1.8,Bcp,0.9112737428699094
dz,mp3d,1.8,Bcp,0.9038269557226554
dz,mp2a,1.8,Bcpgrid,-1.619824977625892
dz,mp2b,1.8,Bcpgrid,-1.637955176079465
dz,mp3b,1.8,Bcpgrid,-0.005692861336283855
dz,mp3d,1.8,Bcpgrid,-0.015735998818919766
dz,mp2a,2.0,A,-1.165489138198673
dz,mp2b,2.0,A,-1.174524126589653
dz,mp3b,2.0,A,-0.025118372119772414
dz,mp3d,2.0,A,-0.03117896014356937
dz,mp2a,2.0,AB,-2.792001278559437
dz,mp2b,2.0,AB,-2.8157868964749087
dz,mp3b,2.0,AB,-0.03493161493234681
dz,mp3d,2.0,AB,-0.05004414593915585
dz,mp2a,2.0,Acp,-1.1667294205017396
dz,mp2b,2.0,Acp,-1.176025986206977
dz,mp3b,2.0,Acp,0.6334870009373961
dz,mp3d,2.0,Acp,0.6292654111203336
dz,mp2a,2.0,Acpgrid,-1.1665955576562306
dz,mp2b,2.0,Acpgrid,-1.175988043463669
dz,mp3b,2.0,Acpgrid,-0.02348906216273039
dz,mp3d,2.0,Acpgrid,-0.029740667803895407
dz,mp2a,2.0,B,-1.616306621140736
dz,mp2b,2.0,B,-1.629863308699595
dz,mp3b,2.0,B,-0.011680439326470005
dz,mp3d,2.0,B,-0.020518401304995798
dz,mp2a,2.0,Bcp,-1.6206145993036403
dz,mp2b,2.0,Bcp,-1.634683583247556
dz,mp3b,2.0,Bcp,0.9082914156645471
dz,mp3d,2.0,Bcp,0.9017765239253115
dz,mp2a,2.0,Bcpgrid,-1.6205785199993183
dz,mp2b,2.0,Bcpgrid,-1.6347367144870133
dz,mp3b,2.0,Bcpgrid,-0.009023369178913193
dz,mp3d,2.0,Bcpgrid,-0.018029297023115565
dz,mp2a,2.2,A,-1.1656842679531982
dz,mp2b,2.2,A,-1.172759823673632
dz,mp3b,2.2,A,-0.02539503258479174
dz,mp3d,2.2,A,-0.030970629173505113
dz,mp2a,2.2,AB,-2.792259033382337
dz,mp2b,2.2,AB,-2.81099297410793
dz,mp3b,2.2,AB,-0.035846118785967496
dz,mp3d,2.2,AB,-0.04950228551418184
dz,mp2a,2.2,Acp,-1.1668402817164654
dz,mp2b,2.2,Acp,-1.174082016725097
dz,mp3b,2.2,Acp,0.6318818442710842
dz,mp3d,2.2,Acp,0.6281769965859323
dz,mp2a,2.2,Acpgrid,-1.166840001488012
dz,mp2b,2.2,Acpgrid,-1.1740239535953054
dz,mp3b,2.2,Acpgrid,-0.024396200798386614
dz,mp3d,2.2,Acpgrid,-0.0300724828638098
dz,mp2a,2.2,B,-1.6164912638546853
dz,mp2b,2.2,B,-1.6269594292042706
dz,mp3b,2.2,B,-0.012337856343631076
dz,mp3d,2.2,B,-0.020214648675963176
dz,mp2a,2.2,Bcp,-1.6207683137394595
dz,mp2b,2.2,Bcp,-1.6315451530019933
dz,mp3b,2.2,Bcp,0.9053334745140937
dz,mp3d,2.2,Bcp,0.8995727486797672
dz,mp2a,2.2,Bcpgrid,-1.6207598462603028
dz,mp2b,2.2,Bcpgrid,-1.6313801344626788
dz,mp3b,2.2,Bcpgrid,-0.011203890373769926
dz,mp3d,2.2,Bcpgrid,-0.01926685281017043
dz,mp2a,2.4,A,-1.1657058088003545
dz,mp2b,2.4,A,-1.171066338654851
dz,mp3b,2.4,A,-0.025626523076260302
dz,mp3d,2.4,A,-0.03062586621745024
dz,mp2a,2.4,AB,-2.7923983906978687
dz,mp2b,2.4,AB,-2.8066614564400156
dz,mp3b,2.4,AB,-0.03656787000278516
dz,mp3d,2.4,AB,-0.04887860287828055
dz,mp2a,2.4,Acp,-1.1668853930379393
dz,mp2b,2.4,Acp,-1.172315061874817
dz,mp3b,2.4,Acp,0.6303784715264442
dz,mp3d,2.4,Acp,0.6271577745726574
dz,mp2a,2.4,Acpgrid,-1.1668860196151583
dz,mp2b,2.4,Acpgrid,-1.172140416547562
dz,mp3b,2.4,Acpgrid,-0.02514827045473421
dz,mp3d,2.4,Acpgrid,-0.030223209002244844
dz,mp2a,2.4,B,-1.6165652476727355
dz,mp2b,2.4,B,-1.6246173891892532
dz,mp3b,2.4,B,-0.012774253250775858
dz,mp3d,2.4,B,-0.0197700642131399
dz,mp2a,2.4,Bcp,-1.6208551529333495
dz,mp2b,2.4,Bcp,-1.6291797523340725
dz,mp3b,2.4,Bcp,0.9031189608814478
dz,mp3d,2.4,Bcp,0.8980601604281815
dz,mp2a,2.4,Bcpgrid,-1.6208442498559656
