Basis,Method,X,Angle,Energy
dz,mp2,1.0,A,-0.7825216373019015
dz,mp3,1.0,A,-0.034463272747175755
dz,mp2,1.0,AB,-1.6019448911031708
dz,mp3,1.0,AB,-0.057285471484759036
dz,mp2,1.0,Acp,-0.783399996135002
dz,mp3,1.0,Acp,-0.03430804943344666
dz,mp2,1.0,Acpgrid,-0.783399996135002
dz,mp3,1.0,Acpgrid,-0.03430804943344666
dz,mp2,1.0,B,-0.8079273869314979
dz,mp3,1.0,B,-0.0269205962438174
dz,mp2,1.0,Bcp,-0.8086835548876838
dz,mp3,1.0,Bcp,-0.026782631691014705
dz,mp2,1.0,Bcpgrid,-0.8086835548876838
dz,mp3,1.0,Bcpgrid,-0.026782631691014705
dz,mp2a,1.0,A,-0.757235503967026
dz,mp2b,1.0,A,-0.7733929922146972
dz,mp3b,1.0,A,-0.030228398822707322
dz,mp3d,1.0,A,-0.03595954668427556
dz,mp2a,1.0,AB,-1.526910658107327
dz,mp2b,1.0,AB,-1.5595154182820834
dz,mp3b,1.0,AB,-0.05315792429651958
dz,mp3d,1.0,AB,-0.06519808657020554
dz,mp2a,1.0,Acp,-0.7576464624760056
dz,mp2b,1.0,Acp,-0.774134538190496
dz,mp3b,1.0,Acp,0.4017757224615507
dz,mp3d,1.0,Acp,0.39629569792042896
dz,mp2a,1.0,Acpgrid,-0.754801620910387
dz,mp2b,1.0,Acpgrid,-0.7712967831759983
dz,mp3b,1.0,Acpgrid,0.15348173470871065
dz,mp3d,1.0,Acpgrid,0.14726754324388835
dz,mp2a,1.0,B,-0.7719230781859066
dz,mp2b,1.0,B,-0.7878704950426157
dz,mp3b,1.0,B,-0.025276149775601844
dz,mp3d,1.0,B,-0.0314432094695616
dz,mp2a,1.0,Bcp,-0.7776428503360246
dz,mp2b,1.0,Bcp,-0.793850848831434
dz,mp3b,1.0,Bcp,0.4211014865200141
dz,mp3d,1.0,Bcp,0.41546515005996093
dz,mp2a,1.0,Bcpgrid,-0.7725870387668416
dz,mp2b,1.0,Bcpgrid,-0.7885442301220454
dz,mp3b,1.0,Bcpgrid,0.02392199532881964
dz,mp3d,1.0,Bcpgrid,0.017696782754398108
dz,mp2a,1.2,A,-0.7701761953081953
dz,mp2b,1.2,A,-0.7857468855567902
dz,mp3b,1.2,A,-0.031065845527090394
dz,mp3d,1.2,A,-0.03654935222532578
dz,mp2a,1.2,AB,-1.5693103042411634
dz,mp2b,1.2,AB,-1.6016726029774286
dz,mp3b,1.2,AB,-0.05011659241374275
dz,mp3d,1.2,AB,-0.06165176685821505
dz,mp2a,1.2,Acp,-0.7702663830050472
dz,mp2b,1.2,Acp,-0.7862249354126398
dz,mp3b,1.2,Acp,0.4136588280568938
dz,mp3d,1.2,Acp,0.4083773969143833
dz,mp2a,1.2,Acpgrid,-0.7706510442858713
dz,mp2b,1.2,Acpgrid,-0.7866445716197494
dz,mp3b,1.2,Acpgrid,0.002180671924225955
dz,mp3d,1.2,Acpgrid,-0.0031874304283969757
dz,mp2a,1.2,B,-0.7931785503322
dz,mp2b,1.2,B,-0.8090957695122436
dz,mp3b,1.2,B,-0.02333322447581572
dz,mp3d,1.2,B,-0.02919734483224523
dz,mp2a,1.2,Bcp,-0.7926646774872252
dz,mp2b,1.2,Bcp,-0.8086806611408786
dz,mp3b,1.2,Bcp,0.4346014179661664
dz,mp3d,1.2,Bcp,0.42913658621643713
dz,mp2a,1.2,Bcpgrid,-0.793193644816397
dz,mp2b,1.2,Bcpgrid,-0.809069039334029
dz,mp3b,1.2,Bcpgrid,-0.0102125659912191
dz,mp3d,1.2,Bcpgrid,-0.01587660045839019
dz,mp2a,1.4,A,-0.7762151528461831
dz,mp2b,1.4,A,-0.7901268772215255
dz,mp3b,1.4,A,-0.03051649151230497
dz,mp3d,1.4,A,-0.035487477315025884
dz,mp2a,1.4,AB,-1.5844941604406508
dz,mp2b,1.4,AB,-1.614033984356015
dz,mp3b,1.4,AB,-0.04988939893956704
dz,mp3d,1.4,AB,-0.06063616184348339
dz,mp2a,1.4,Acp,-0.7777528069176031
dz,mp2b,1.4,Acp,-0.7917273208279667
dz,mp3b,1.4,Acp,0.419405008187403
dz,mp3d,1.4,Acp,0.4145168858251842
dz,mp2a,1.4,Acpgrid,-0.7779821497302315
dz,mp2b,1.4,Acpgrid,-0.7919961957680828
dz,mp3b,1.4,Acpgrid,-0.02105126285588886
dz,mp3d,1.4,Acpgrid,-0.025868073950224543
dz,mp2a,1.4,B,-0.8007936883208342
dz,mp2b,1.4,B,-0.8152920379869371
dz,mp3b,1.4,B,-0.023191704911860456
dz,mp3d,1.4,B,-0.028667364535838194
dz,mp2a,1.4,Bcp,-0.8012974030872673
dz,mp2b,1.4,Bcp,-0.8156955811339536
dz,mp3b,1.4,Bcp,0.28179267407862096
dz,mp3d,1.4,Bcp,0.27617266405991225
dz,mp2a,1.4,Bcpgrid,-0.8015528228165258
dz,mp2b,1.4,Bcpgrid,-0.8161905604318589
dz,mp3b,1.4,Bcpgrid,-0.017232589639757878
dz,mp3d,1.4,Bcpgrid,-0.022544087737715324
dz,mp2a,1.6,A,-0.7808717436656065
dz,mp2b,1.6,A,-0.7921757725154233
dz,mp3b,1.6,A,-0.03193935390293293
dz,mp3d,1.6,A,-0.0363127134897539
dz,mp2a,1.6,AB,-1.5980088466783495
dz,mp2b,1.6,AB,-1.623043773385958
dz,mp3b,1.6,AB,-0.0515720420642502
dz,mp3d,1.6,AB,-0.061238382338326125
dz,mp2a,1.6,Acp,-0.7822559983751167
dz,mp2b,1.6,Acp,-0.7937077554638157
dz,mp3b,1.6,Acp,0.4212359818780057
dz,mp3d,1.6,Acp,0.41694351164716476
dz,mp2a,1.6,Acpgrid,-0.7822843103662765
dz,mp2b,1.6,Acpgrid,-0.7939451661282423
dz,mp3b,1.6,Acpgrid,-0.026855618251553068
dz,mp3d,1.6,Acpgrid,-0.03139918929173603
dz,mp2a,1.6,B,-0.8057751193553884
dz,mp2b,1.6,B,-0.8177736303074224
dz,mp3b,1.6,B,-0.024134640911571664
dz,mp3d,1.6,B,-0.028911786043306187
dz,mp2a,1.6,Bcp,-0.8073656155902135
dz,mp2b,1.6,Bcp,-0.8194105472031339
dz,mp3b,1.6,Bcp,0.03693963985441269
dz,mp3d,1.6,Bcp,0.031977672583582126
dz,mp2a,1.6,Bcpgrid,-0.8063762916978661
dz,mp2b,1.6,Bcpgrid,-0.8187190694995272
dz,mp3b,1.6,Bcpgrid,-0.02141114111633921
dz,mp3d,1.6,Bcpgrid,-0.026333057405433707
dz,mp2a,1.8,A,-0.7819465173560511
dz,mp2b,1.8,A,-0.7908163346548946
dz,mp3b,1.8,A,-0.03264539781926669
dz,mp3d,1.8,A,-0.036500139589552075
dz,mp2a,1.8,AB,-1.6008883993336132
dz,mp2b,1.8,AB,-1.6211047749173078
dz,mp3b,1.8,AB,-0.05257742221523953
dz,mp3d,1.8,AB,-0.061144343020088504
dz,mp2a,1.8,Acp,-0.7830892815716742
dz,mp2b,1.8,Acp,-0.7921846564632437
dz,mp3b,1.8,Acp,0.36952215642650255
dz,mp3d,1.8,Acp,0.3656277732122831
dz,mp2a,1.8,Acpgrid,-0.7829449509621473
dz,mp2b,1.8,Acpgrid,-0.7921947957044094
dz,mp3b,1.8,Acpgrid,-0.03175780674702071
