Basis,Method,X,Angle,Energy
dz,mp2,1.0,A,-0.7825694553647039
dz,mp3,1.0,A,-0.03446215321739635
dz,mp2,1.0,AB,-1.983238381799506
dz,mp3,1.0,AB,-0.04338355510335859
dz,mp2,1.0,Acp,-0.7840818127734773
dz,mp3,1.0,Acp,-0.034274288831907106
dz,mp2,1.0,Acpgrid,-0.7840818127734773
dz,mp3,1.0,Acpgrid,-0.034274288831907106
dz,mp2,1.0,B,-1.1868580094865118
dz,mp3,1.0,B,-0.013285750677108046
dz,mp2,1.0,Bcp,-1.188349728008636
dz,mp3,1.0,Bcp,-0.013044874642059666
dz,mp2,1.0,Bcpgrid,-1.188349728008636
dz,mp3,1.0,Bcpgrid,-0.013044874642059666
dz,mp2a,1.0,A,-0.7579034336888191
dz,mp2b,1.0,A,-0.7743245890064306
dz,mp3b,1.0,A,-0.030190116632065375
dz,mp3d,1.0,A,-0.035872233026718256
dz,mp2a,1.0,AB,-1.868598616563364
dz,mp2b,1.0,AB,-1.9052919492310147
dz,mp3b,1.0,AB,-0.041817492578903825
dz,mp3d,1.0,AB,-0.057733339006244416
dz,mp2a,1.0,Acp,-0.7587571474215553
dz,mp2b,1.0,Acp,-0.7757017972882593
dz,mp3b,1.0,Acp,0.4033236729981994
dz,mp3d,1.0,Acp,0.3976988470637086
dz,mp2a,1.0,Acpgrid,-0.7590942909369607
dz,mp2b,1.0,Acpgrid,-0.7758722407354833
dz,mp3b,1.0,Acpgrid,0.2993409995922206
dz,mp3d,1.0,Acpgrid,0.2933539926384392
dz,mp2a,1.0,B,-1.1407175801306466
dz,mp2b,1.0,B,-1.1606602243971325
dz,mp3b,1.0,B,-0.010723259936717841
dz,mp3d,1.0,B,-0.020545042239386843
dz,mp2a,1.0,Bcp,-1.1390297671164142
dz,mp2b,1.0,Bcp,-1.159509277606294
dz,mp3b,1.0,Bcp,0.6326071694766433
dz,mp3d,1.0,Bcp,0.62446095829023
dz,mp2a,1.0,Bcpgrid,-1.1358356119519413
dz,mp2b,1.0,Bcpgrid,-1.1561470303860355
dz,mp3b,1.0,Bcpgrid,0.025482638209709113
dz,mp3d,1.0,Bcpgrid,0.015443064591670733
dz,mp2a,1.2,A,-0.7698769013910672
dz,mp2b,1.2,A,-0.7856335232002958
dz,mp3b,1.2,A,-0.030508212231698348
dz,mp3d,1.2,A,-0.03600026813972691
dz,mp2a,1.2,AB,-1.9397442421680613
dz,mp2b,1.2,AB,-1.976224614662922
dz,mp3b,1.2,AB,-0.0356240460538948
