Basis,Method,X,Angle,Energy
dz,mp2,1.0,A,-0.8079889912428132
dz,mp3,1.0,A,-0.026916074926658564
dz,mp2,1.0,AB,-1.627884809064635
dz,mp3,1.0,AB,-0.04950093653578152
dz,mp2,1.0,Acp,-0.8088499873713539
dz,mp3,1.0,Acp,-0.02677332906746564
dz,mp2,1.0,Acpgrid,-0.8088499873713539
dz,mp3,1.0,Acpgrid,-0.02677332906746564
dz,mp2,1.0,B,-0.807986116760163
dz,mp3,1.0,B,-0.02691648510528268
dz,mp2,1.0,Bcp,-0.8088492349222896
dz,mp3,1.0,Bcp,-0.026773264730752037
dz,mp2,1.0,Bcpgrid,-0.8088492349222896
dz,mp3,1.0,Bcpgrid,-0.026773264730752037
dz,mp2a,1.0,A,-0.7750614218881235
dz,mp2b,1.0,A,-0.7913031644886026
dz,mp3b,1.0,A,-0.02494328772378994
dz,mp3d,1.0,A,-0.03113746553032601
dz,mp2a,1.0,AB,-1.5626601377598082
dz,mp2b,1.0,AB,-1.595891614236459
dz,mp3b,1.0,AB,-0.0446771935786692
dz,mp3d,1.0,AB,-0.05707435147443071
dz,mp2a,1.0,Acp,-0.7712914079025401
dz,mp2b,1.0,Acp,-0.7872716432338422
dz,mp3b,1.0,Acp,0.41481995506847913
dz,mp3d,1.0,Acp,0.4091444532557118
dz,mp2a,1.0,Acpgrid,-0.7745237428332885
dz,mp2b,1.0,Acpgrid,-0.7909997380701309
dz,mp3b,1.0,Acpgrid,0.13572782898296415
dz,mp3d,1.0,Acpgrid,0.1289508525623453
dz,mp2a,1.0,B,-0.7750582066714451
dz,mp2b,1.0,B,-0.791299973688805
dz,mp3b,1.0,B,-0.024945007834322935
dz,mp3d,1.0,B,-0.031139849055993374
dz,mp2a,1.0,Bcp,-0.7712844141640853
dz,mp2b,1.0,Bcp,-0.7872654150393488
dz,mp3b,1.0,Bcp,0.4148227841396781
dz,mp3d,1.0,Bcp,0.409146802948345
dz,mp2a,1.0,Bcpgrid,-0.7739321862627104
dz,mp2b,1.0,Bcpgrid,-0.7901479851340691
dz,mp3b,1.0,Bcpgrid,0.13544532719629387
dz,mp3d,1.0,Bcpgrid,0.1286531544374725
dz,mp2a,1.2,A,-0.7934927553806805
dz,mp2b,1.2,A,-0.8094291028134109
dz,mp3b,1.2,A,-0.023795811685270327
dz,mp3d,1.2,A,-0.029705690765439358
dz,mp2a,1.2,AB,-1.5959765332288103
dz,mp2b,1.2,AB,-1.6281172604262386
dz,mp3b,1.2,AB,-0.0423314350273849
dz,mp3d,1.2,AB,-0.05414766771858742
dz,mp2a,1.2,Acp,-0.7953317406533977
dz,mp2b,1.2,Acp,-0.8112632218496021
dz,mp3b,1.2,Acp,0.437663122584106
dz,mp3d,1.2,Acp,0.432200136115997
dz,mp2a,1.2,Acpgrid,-0.7919684725212996
dz,mp2b,1.2,Acpgrid,-0.8076894845459406
dz,mp3b,1.2,Acpgrid,0.005146857786618206
dz,mp3d,1.2,Acpgrid,-0.00044060239034539317
dz,mp2a,1.2,B,-0.7934897183550238
dz,mp2b,1.2,B,-0.8094261004674668
dz,mp3b,1.2,B,-0.023796430450573586
dz,mp3d,1.2,B,-0.029706252420548834
dz,mp2a,1.2,Bcp,-0.7953275852468835
dz,mp2b,1.2,Bcp,-0.8112602574516292
dz,mp3b,1.2,Bcp,0.43766299473325465
dz,mp3d,1.2,Bcp,0.43219943225888346
dz,mp2a,1.2,Bcpgrid,-0.794429557813666
dz,mp2b,1.2,Bcpgrid,-0.8104573791671945
dz,mp3b,1.2,Bcpgrid,0.006247324971970558
dz,mp3d,1.2,Bcpgrid,0.0005917571117001474
dz,mp2a,1.4,A,-0.8010764437561007
dz,mp2b,1.4,A,-0.815310627578936
dz,mp3b,1.4,A,-0.023144991640492968
dz,mp3d,1.4,A,-0.028506005214355368
dz,mp2a,1.4,AB,-1.6123915535422966
dz,mp2b,1.4,AB,-1.6419846267327767
dz,mp3b,1.4,AB,-0.042210420460187165
dz,mp3d,1.4,AB,-0.05330845409754664
dz,mp2a,1.4,Acp,-0.8013188891339931
dz,mp2b,1.4,Acp,-0.8157849893986142
dz,mp3b,1.4,Acp,0.44218200094087745
dz,mp3d,1.4,Acp,0.4370476447286894
dz,mp2a,1.4,Acpgrid,-0.8005854836131129
dz,mp2b,1.4,Acpgrid,-0.8152332090189205
dz,mp3b,1.4,Acpgrid,-0.016525333293658157
dz,mp3d,1.4,Acpgrid,-0.02181123839923338
dz,mp2a,1.4,B,-0.8010736294899656
dz,mp2b,1.4,B,-0.8153079854085347
dz,mp3b,1.4,B,-0.023145411157886556
dz,mp3d,1.4,B,-0.028506377248526907
dz,mp2a,1.4,Bcp,-0.8013221633312827
dz,mp2b,1.4,Bcp,-0.8157905888932828
dz,mp3b,1.4,Bcp,0.44219252187350266
dz,mp3d,1.4,Bcp,0.4370573194567825
dz,mp2a,1.4,Bcpgrid,-0.8015923859142295
dz,mp2b,1.4,Bcpgrid,-0.8160884183946588
dz,mp3b,1.4,Bcpgrid,-0.015741704237392865
dz,mp3d,1.4,Bcpgrid,-0.021012681600360364
dz,mp2a,1.6,A,-0.8063182464785956
dz,mp2b,1.6,A,-0.8181915945826514
dz,mp3b,1.6,A,-0.02419339129861292
dz,mp3d,1.6,A,-0.028966888372522495
dz,mp2a,1.6,AB,-1.6244231217906482
dz,mp2b,1.6,AB,-1.6488113794790524
dz,mp3b,1.6,AB,-0.04384674189233409
dz,mp3d,1.6,AB,-0.053659998027695915
dz,mp2a,1.6,Acp,-0.8070612541667173
dz,mp2b,1.6,Acp,-0.8190722457754982
dz,mp3b,1.6,Acp,0.12169862900843353
dz,mp3d,1.6,Acp,0.1167164682508961
dz,mp2a,1.6,Acpgrid,-0.8072615518896834
dz,mp2b,1.6,Acpgrid,-0.8194946820704407
dz,mp3b,1.6,Acpgrid,-0.019757474137419795
dz,mp3d,1.6,Acpgrid,-0.024642978296284063
dz,mp2a,1.6,B,-0.8063153509915943
dz,mp2b,1.6,B,-0.8181887465442412
dz,mp3b,1.6,B,-0.02419252608018141
dz,mp3d,1.6,B,-0.028965935131254963
dz,mp2a,1.6,Bcp,-0.8071102688626395
dz,mp2b,1.6,Bcp,-0.8191171672404037
dz,mp3b,1.6,Bcp,0.16780071485012216
dz,mp3d,1.6,Bcp,0.16247250107260228
dz,mp2a,1.6,Bcpgrid,-0.8068944161494955
dz,mp2b,1.6,Bcpgrid,-0.8191752353104887
dz,mp3b,1.6,Bcpgrid,-0.02025749090410034
dz,mp3d,1.6,Bcpgrid,-0.025218290118961276
dz,mp2a,1.8,A,-0.807274117506547
dz,mp2b,1.8,A,-0.8169244986319553
dz,mp3b,1.8,A,-0.02471857663141959
dz,mp3d,1.8,A,-0.028941063440001635
dz,mp2a,1.8,AB,-1.6268387813046719
dz,mp2b,1.8,AB,-1.6467814670503387
dz,mp3b,1.8,AB,-0.04514225972394742
dz,mp3d,1.8,AB,-0.05387996518429897
dz,mp2a,1.8,Acp,-0.8083605418828645
dz,mp2b,1.8,Acp,-0.8183525455971612
dz,mp3b,1.8,Acp,0.007388019890655878
dz,mp3d,1.8,Acp,0.0030234477002429455
dz,mp2a,1.8,Acpgrid,-0.8083937631657178
dz,mp2b,1.8,Acpgrid,-0.8180129763265198
dz,mp3b,1.8,Acpgrid,-0.02374824398240566
dz,mp3d,1.8,Acpgrid,-0.028030388608438442
dz,mp2a,1.8,B,-0.8072712970724635
dz,mp2b,1.8,B,-0.8169218597293977
dz,mp3b,1.8,B,-0.024722365333591553
dz,mp3d,1.8,B,-0.028944904549868783
dz,mp2a,1.8,Bcp,-0.8083161604403143
dz,mp2b,1.8,Bcp,-0.8182361493824183
dz,mp3b,1.8,Bcp,0.014640740073416134
dz,mp3d,1.8,Bcp,0.010359181807718332
dz,mp2a,1.8,Bcpgrid,-0.8083129874796284
dz,mp2b,1.8,Bcpgrid,-0.8182537572368094
dz,mp3b,1.8,Bcpgrid,-0.023498855305966626
dz,mp3d,1.8,Bcpgrid,-0.027880779270181746
dz,mp2a,2.0,A,-0.807780897527882
dz,mp2b,2.0,A,-0.8151789002908051
dz,mp3b,2.0,A,-0.02531900648544677
dz,mp3d,2.0,A,-0.029043875670951624
dz,mp2a,2.0,AB,-1.6274735355054786
dz,mp2b,2.0,AB,-1.6429035897768214
dz,mp3b,2.0,AB,-0.04621617639434153
dz,mp3d,2.0,AB,-0.05391985533966498
dz,mp2a,2.0,Acp,-0.8086652430178223
dz,mp2b,2.0,Acp,-0.816333010169906
dz,mp3b,2.0,Acp,-0.017358064667713058
dz,mp3d,2.0,Acp,-0.02106049006200557
dz,mp2a,2.0,Acpgrid,-0.8086674250640831
dz,mp2b,2.0,Acpgrid,-0.8161254542292409
dz,mp3b,2.0,Acpgrid,-0.024647003660212552
dz,mp3d,2.0,Acpgrid,-0.028324782828648767
dz,mp2a,2.0,B,-0.8077882195900823
dz,mp2b,2.0,B,-0.8151435254011268
dz,mp3b,2.0,B,-0.025325811958966854
dz,mp3d,2.0,B,-0.029038160696713805
dz,mp2a,2.0,Bcp,-0.8086707770828112
dz,mp2b,2.0,Bcp,-0.8163990293842275
dz,mp3b,2.0,Bcp,-0.015400847525023076
dz,mp3d,2.0,Bcp,-0.01913505620620333
dz,mp2a,2.0,Bcpgrid,-0.8086800519904567
dz,mp2b,2.0,Bcpgrid,-0.8163510551960905
dz,mp3b,2.0,Bcpgrid,-0.024585902964762957
dz,mp3d,2.0,Bcpgrid,-0.02835098595172586
dz,mp2a,2.2,A,-0.807916868666292
dz,mp2b,2.2,A,-0.8135077029930127
dz,mp3b,2.2,A,-0.025800133310957055
dz,mp3d,2.2,A,-0.02897223832311345
dz,mp2a,2.2,AB,-1.6277477372770939
dz,mp2b,2.2,AB,-1.639658123157214
dz,mp3b,2.2,AB,-0.046975359334163774
dz,mp3d,2.2,AB,-0.05367058736671018
dz,mp2a,2.2,Acp,-0.8087962154613102
dz,mp2b,2.2,Acp,-0.8145863167270135
dz,mp3b,2.2,Acp,-0.021810002468143255
dz,mp3d,2.2,Acp,-0.024979891682208308
dz,mp2a,2.2,Acpgrid,-0.8087952622433392
dz,mp2b,2.2,Acpgrid,-0.8145363497272425
dz,mp3b,2.2,Acpgrid,-0.025302096725425507
dz,mp3d,2.2,Acpgrid,-0.02847650475954297
dz,mp2a,2.2,B,-0.8079140039250433
dz,mp2b,2.2,B,-0.8135048251787588
dz,mp3b,2.2,B,-0.025799388032844678
dz,mp3d,2.2,B,-0.028971525757426467
