Basis,Method,X,Angle,Energy
dz,mp2,1.0,A,-1.1848489063816188
dz,mp3,1.0,A,-0.01404481401723625
dz,mp2,1.0,AB,-2.8082847535438837
dz,mp3,1.0,AB,-0.02761125173889489
dz,mp2,1.0,Acp,-1.187278145350087
dz,mp3,1.0,Acp,-0.013573887075169445
dz,mp2,1.0,Acpgrid,-1.187278145350087
dz,mp3,1.0,Acpgrid,-0.013573887075169445
dz,mp2,1.0,B,-1.6173089730786436
dz,mp3,1.0,B,-0.013867230422331048
dz,mp2,1.0,Bcp,-1.6195244653766019
dz,mp3,1.0,Bcp,-0.013407755633921738
dz,mp2,1.0,Bcpgrid,-1.6195244653766019
dz,mp3,1.0,Bcpgrid,-0.013407755633921738
dz,mp2a,1.0,A,-1.1354312263548925
dz,mp2b,1.0,A,-1.1551994867699622
dz,mp3b,1.0,A,-0.010798268555948343
dz,mp3d,1.0,A,-0.020608698539165318
dz,mp2a,1.0,AB,-2.695397140857616
dz,mp2b,1.0,AB,-2.7468380588147028
dz,mp3b,1.0,AB,-0.023187743442461384
dz,mp3d,1.0,AB,-0.046976096689336305
dz,mp2a,1.0,Acp,-1.13880354652215
dz,mp2b,1.0,Acp,-1.159266300363775
dz,mp3b,1.0,Acp,0.629680694202514
dz,mp3d,1.0,Acp,0.6217108612565417
dz,mp2a,1.0,Acpgrid,-1.1410241575876041
dz,mp2b,1.0,Acpgrid,-1.1613763280996505
dz,mp3b,1.0,Acpgrid,0.2581491410260418
dz,mp3d,1.0,Acpgrid,0.24852764342577824
dz,mp2a,1.0,B,-1.5540795111863006
dz,mp2b,1.0,B,-1.584743106166756
dz,mp3b,1.0,B,-0.01128426293308002
dz,mp3d,1.0,B,-0.025169300843577713
dz,mp2a,1.0,Bcp,-1.557808542025884
dz,mp2b,1.0,Bcp,-1.588989791160127
dz,mp3b,1.0,Bcp,0.8682996198061537
dz,mp3d,1.0,Bcp,0.8567464134682745
dz,mp2a,1.0,Bcpgrid,-1.5543988206566528
dz,mp2b,1.0,Bcpgrid,-1.5853308079401316
dz,mp3b,1.0,Bcpgrid,0.42922891908220534
dz,mp3d,1.0,Bcpgrid,0.41547793399023425
dz,mp2a,1.2,A,-1.169987468174413
dz,mp2b,1.2,A,-1.1887276936881843
dz,mp3b,1.2,A,-0.009358022648079736
dz,mp3d,1.2,A,-0.01853096743502053
dz,mp2a,1.2,AB,-2.7699026410730463
dz,mp2b,1.2,AB,-2.8188545672034797
dz,mp3b,1.2,AB,-0.01694007753041263
dz,mp3d,1.2,AB,-0.03926991696419749
dz,mp2a,1.2,Acp,-1.1712343042071383
dz,mp2b,1.2,Acp,-1.1902583656550705
dz,mp3b,1.2,Acp,0.6573874755851542
dz,mp3d,1.2,Acp,0.650477957872337
dz,mp2a,1.2,Acpgrid,-1.1716574616475297
dz,mp2b,1.2,Acpgrid,-1.1906055392383865
dz,mp3b,1.2,Acpgrid,0.03628812909929072
dz,mp3d,1.2,Acpgrid,0.02668290120743945
dz,mp2a,1.2,B,-1.5999372709016302
dz,mp2b,1.2,B,-1.6287114434194279
dz,mp3b,1.2,B,-0.006791908164667543
dz,mp3d,1.2,B,-0.019729728267740054
dz,mp2a,1.2,Bcp,-1.6011537889920253
dz,mp2b,1.2,Bcp,-1.6304412194951707
dz,mp3b,1.2,Bcp,0.9041490876743387
dz,mp3d,1.2,Bcp,0.8938726533401632
dz,mp2a,1.2,Bcpgrid,-1.5982539451886761
dz,mp2b,1.2,Bcpgrid,-1.6274512155744252
dz,mp3b,1.2,Bcpgrid,0.05161095121730744
dz,mp3d,1.2,Bcpgrid,0.037758835720415385
dz,mp2a,1.4,A,-1.1778953064883961
dz,mp2b,1.4,A,-1.194785422327623
dz,mp3b,1.4,A,-0.009850779023434925
dz,mp3d,1.4,A,-0.018478903404390914
dz,mp2a,1.4,AB,-2.790055102491627
dz,mp2b,1.4,AB,-2.8338312220127824
dz,mp3b,1.4,AB,-0.018162182685387912
dz,mp3d,1.4,AB,-0.03900361260412519
dz,mp2a,1.4,Acp,-1.180258728617079
dz,mp2b,1.4,Acp,-1.197514696059811
dz,mp3b,1.4,Acp,0.6636392813767188
dz,mp3d,1.4,Acp,0.6573928340999161
dz,mp2a,1.4,Acpgrid,-1.1802955733861142
dz,mp2b,1.4,Acpgrid,-1.197509730516043
dz,mp3b,1.4,Acpgrid,-0.0026348905650524085
dz,mp3d,1.4,Acpgrid,-0.01141610837194744
dz,mp2a,1.4,B,-1.6087490741816308
dz,mp2b,1.4,B,-1.6346352480766968
dz,mp3b,1.4,B,-0.008079969372852464
dz,mp3d,1.4,B,-0.0202557187809351
dz,mp2a,1.4,Bcp,-1.6103942132129552
dz,mp2b,1.4,Bcp,-1.6362893862522006
dz,mp3b,1.4,Bcp,0.9097227952273306
dz,mp3d,1.4,Bcp,0.9005100754652743
dz,mp2a,1.4,Bcpgrid,-1.6099710167314183
dz,mp2b,1.4,Bcpgrid,-1.6362155705502994
dz,mp3b,1.4,Bcpgrid,0.0031862942954214157
dz,mp3d,1.4,Bcpgrid,-0.009107144477836726
dz,mp2a,1.6,A,-1.1813033693580155
dz,mp2b,1.6,A,-1.195708665634764
dz,mp3b,1.6,A,-0.010682687553979067
dz,mp3d,1.6,A,-0.018596908103492044
dz,mp2a,1.6,AB,-2.8006068429662427
dz,mp2b,1.6,AB,-2.838056370630847
dz,mp3b,1.6,AB,-0.019789667110414855
dz,mp3d,1.6,AB,-0.038897451205252564
dz,mp2a,1.6,Acp,-1.184608083751673
dz,mp2b,1.6,Acp,-1.1989887089882845
dz,mp3b,1.6,Acp,0.6644039580247129
dz,mp3d,1.6,Acp,0.6588865736978863
dz,mp2a,1.6,Acpgrid,-1.1841989931705599
dz,mp2b,1.6,Acpgrid,-1.1989387582602933
dz,mp3b,1.6,Acpgrid,-0.011914127068185038
dz,mp3d,1.6,Acpgrid,-0.020053689838001112
dz,mp2a,1.6,B,-1.6125891968156643
dz,mp2b,1.6,B,-1.6346859594220966
dz,mp3b,1.6,B,-0.008994139303215548
dz,mp3d,1.6,B,-0.020145708384500693
dz,mp2a,1.6,Bcp,-1.615490327716241
dz,mp2b,1.6,Bcp,-1.638164429495502
dz,mp3b,1.6,Bcp,0.8497979530077726
dz,mp3d,1.6,Bcp,0.8411101756238704
dz,mp2a,1.6,Bcpgrid,-1.615565234344552
dz,mp2b,1.6,Bcpgrid,-1.6379410260574558
dz,mp3b,1.6,Bcpgrid,-0.006532744772810767
dz,mp3d,1.6,Bcpgrid,-0.01777939511396806
dz,mp2a,1.8,A,-1.1842837052020103
dz,mp2b,1.8,A,-1.1953608862630258
dz,mp3b,1.8,A,-0.01221905680212676
dz,mp3d,1.8,A,-0.01934752281791506
dz,mp2a,1.8,AB,-2.8066666900772734
dz,mp2b,1.8,AB,-2.836682366700821
dz,mp3b,1.8,AB,-0.02262979167479201
dz,mp3d,1.8,AB,-0.0398860103080772
dz,mp2a,1.8,Acp,-1.1865971310268821
dz,mp2b,1.8,Acp,-1.198115107330076
dz,mp3b,1.8,Acp,0.5721794475897953
dz,mp3d,1.8,Acp,0.5670895063854456
