Basis,Method,X,Angle,Energy
dz,mp2,1.0,A,-1.330772858927122
dz,mp3,1.0,A,-0.024014481917110565
dz,mp2,1.0,AB,-2.7787235846226412
dz,mp3,1.0,AB,-0.03842304011304298
dz,mp2,1.0,Acp,-1.333459158424195
dz,mp3,1.0,Acp,-0.02336019167700211
dz,mp2,1.0,Acpgrid,-1.333459158424195
dz,mp3,1.0,Acpgrid,-0.02336019167700211
dz,mp2,1.0,B,-1.4383704694167787
dz,mp3,1.0,B,-0.01653175737687316
dz,mp2,1.0,Bcp,-1.440643882199891
dz,mp3,1.0,Bcp,-0.016017260754518984
dz,mp2,1.0,Bcpgrid,-1.440643882199891
dz,mp3,1.0,Bcpgrid,-0.016017260754518984
dz,mp2a,1.0,A,-1.271312034371011
dz,mp2b,1.0,A,-1.2946952530451266
dz,mp3b,1.0,A,-0.019529171698635994
dz,mp3d,1.0,A,-0.03034944209607869
dz,mp2a,1.0,AB,-2.658375114935172
dz,mp2b,1.0,AB,-2.711327835561149
dz,mp3b,1.0,AB,-0.031229925948156406
dz,mp3d,1.0,AB,-0.05447776395162751
dz,mp2a,1.0,Acp,-1.278889500704766
dz,mp2b,1.0,Acp,-1.302844112539925
dz,mp3b,1.0,Acp,0.7001014974271047
dz,mp3d,1.0,Acp,0.6910754042497649
dz,mp2a,1.0,Acpgrid,-1.2790100119670584
dz,mp2b,1.0,Acpgrid,-1.3030153977903343
dz,mp3b,1.0,Acpgrid,0.10671157927453812
dz,mp3d,1.0,Acpgrid,0.09476854156532055
dz,mp2a,1.0,B,-1.395938623793656
dz,mp2b,1.0,B,-1.423836480056504
dz,mp3b,1.0,B,-0.012596691878916738
dz,mp3d,1.0,B,-0.02450527056979082
dz,mp2a,1.0,Bcp,-1.4024778354326908
dz,mp2b,1.0,Bcp,-1.4310780559634249
dz,mp3b,1.0,Bcp,0.7842384367252848
dz,mp3d,1.0,Bcp,0.7740946861570129
dz,mp2a,1.0,Bcpgrid,-1.4005158779938474
dz,mp2b,1.0,Bcpgrid,-1.4288113801872324
dz,mp3b,1.0,Bcpgrid,0.4319626662014963
dz,mp3d,1.0,Bcpgrid,0.41974170359684576
dz,mp2a,1.2,A,-1.3091705438990275
dz,mp2b,1.2,A,-1.3311416629807402
dz,mp3b,1.2,A,-0.017346439965448185
dz,mp3d,1.2,A,-0.02741458961622681
dz,mp2a,1.2,AB,-2.7347854631387176
dz,mp2b,1.2,AB,-2.7848115792131285
dz,mp3b,1.2,AB,-0.027571864830650217
dz,mp3d,1.2,AB,-0.049259376038721964
dz,mp2a,1.2,Acp,-1.3117425348480864
dz,mp2b,1.2,Acp,-1.3340835132408535
dz,mp3b,1.2,Acp,0.7263073408603291
dz,mp3d,1.2,Acp,0.7184488290752221
dz,mp2a,1.2,Acpgrid,-1.3139187916748112
dz,mp2b,1.2,Acpgrid,-1.3360593771374298
dz,mp3b,1.2,Acpgrid,0.010703350722768262
dz,mp3d,1.2,Acpgrid,0.00044491436182104993
dz,mp2a,1.2,B,-1.4241793500488027
dz,mp2b,1.2,B,-1.450589367690709
dz,mp3b,1.2,B,-0.010591222687027307
dz,mp3d,1.2,B,-0.02185272563366253
dz,mp2a,1.2,Bcp,-1.4268861447162937
dz,mp2b,1.2,Bcp,-1.453763651473417
dz,mp3b,1.2,Bcp,0.8058468620882434
dz,mp3d,1.2,Bcp,0.7965350683740525
dz,mp2a,1.2,Bcpgrid,-1.4243761329530724
dz,mp2b,1.2,Bcpgrid,-1.451363522622729
dz,mp3b,1.2,Bcpgrid,0.0520818509744783
dz,mp3d,1.2,Bcpgrid,0.040178777265532026
dz,mp2a,1.4,A,-1.3198884277904743
dz,mp2b,1.4,A,-1.3398293598880613
dz,mp3b,1.4,A,-0.01842149908505021
dz,mp3d,1.4,A,-0.027973286719208457
dz,mp2a,1.4,AB,-2.756638883478761
dz,mp2b,1.4,AB,-2.802231541357197
dz,mp3b,1.4,AB,-0.028643076405597406
dz,mp3d,1.4,AB,-0.04926397699937088
dz,mp2a,1.4,Acp,-1.3227107506451101
dz,mp2b,1.4,Acp,-1.3430981856187514
dz,mp3b,1.4,Acp,0.7335871306675815
dz,mp3d,1.4,Acp,0.7264064128580849
dz,mp2a,1.4,Acpgrid,-1.3235641584520264
dz,mp2b,1.4,Acpgrid,-1.3436112194066823
dz,mp3b,1.4,Acpgrid,-0.015077812392539774
dz,mp3d,1.4,Acpgrid,-0.02474868486653818
dz,mp2a,1.4,B,-1.4306591533499033
dz,mp2b,1.4,B,-1.454285835995048
dz,mp3b,1.4,B,-0.011231676881566663
dz,mp3d,1.4,B,-0.021660998672449527
dz,mp2a,1.4,Bcp,-1.4334607946107698
dz,mp2b,1.4,Bcp,-1.45739051465527
dz,mp3b,1.4,Bcp,0.8091307372818626
dz,mp3d,1.4,Bcp,0.8004995876513336
dz,mp2a,1.4,Bcpgrid,-1.4330966740924675
dz,mp2b,1.4,Bcpgrid,-1.4570965778910627
dz,mp3b,1.4,Bcpgrid,0.001266887546591322
dz,mp3d,1.4,Bcpgrid,-0.009223599621324657
dz,mp2a,1.6,A,-1.3261788126216316
dz,mp2b,1.6,A,-1.3427088447441342
dz,mp3b,1.6,A,-0.02026535810214289
dz,mp3d,1.6,A,-0.02907843442311811
dz,mp2a,1.6,AB,-2.769310747134817
dz,mp2b,1.6,AB,-2.807897384811243
dz,mp3b,1.6,AB,-0.029993677244573497
dz,mp3d,1.6,AB,-0.0487519267319885
dz,mp2a,1.6,Acp,-1.329683481744465
dz,mp2b,1.6,Acp,-1.3467806030575435
dz,mp3b,1.6,Acp,0.7360488747008738
dz,mp3d,1.6,Acp,0.7296904564268164
dz,mp2a,1.6,Acpgrid,-1.329933365935035
dz,mp2b,1.6,Acpgrid,-1.3467220973518885
dz,mp3b,1.6,Acpgrid,-0.014372967420182958
dz,mp3d,1.6,Acpgrid,-0.023298731132965766
dz,mp2a,1.6,B,-1.4353573244081792
dz,mp2b,1.6,B,-1.4552310754305982
dz,mp3b,1.6,B,-0.012338869723857643
dz,mp3d,1.6,B,-0.02186240260395389
dz,mp2a,1.6,Bcp,-1.4381986729142375
dz,mp2b,1.6,Bcp,-1.4580968555263154
dz,mp3b,1.6,Bcp,0.8094803439036877
dz,mp3d,1.6,Bcp,0.8019022008957465
dz,mp2a,1.6,Bcpgrid,-1.4380889128384173
dz,mp2b,1.6,Bcpgrid,-1.4576905039143886
dz,mp3b,1.6,Bcpgrid,-0.008132241199430373
dz,mp3d,1.6,Bcpgrid,-0.017603989282177934
dz,mp2a,1.8,A,-1.3297624375682249
