Basis,Method,X,Angle,Energy
dz,mp2,1.0,A,-1.438541510584205
dz,mp3,1.0,A,-0.016528252065995716
dz,mp2,1.0,AB,-2.77860189992951
dz,mp3,1.0,AB,-0.038839149386267306
dz,mp2,1.0,Acp,-1.4407732193792229
dz,mp3,1.0,Acp,-0.016049420103214727
dz,mp2,1.0,Acpgrid,-1.4407732193792229
dz,mp3,1.0,Acpgrid,-0.016049420103214727
dz,mp2,1.0,B,-1.3309174304397569
dz,mp3,1.0,B,-0.023985790581863065
dz,mp2,1.0,Bcp,-1.3336151033327865
dz,mp3,1.0,Bcp,-0.023337166052290238
dz,mp2,1.0,Bcpgrid,-1.3336151033327865
dz,mp3,1.0,Bcpgrid,-0.023337166052290238
dz,mp2a,1.0,A,-1.3976207790952317
dz,mp2b,1.0,A,-1.4255970381178846
dz,mp3b,1.0,A,-0.012323170894464705
dz,mp3d,1.0,A,-0.024337683749706185
dz,mp2a,1.0,AB,-2.6519369264804507
dz,mp2b,1.0,AB,-2.704608235092686
dz,mp3b,1.0,AB,-0.033943833876407065
dz,mp3d,1.0,AB,-0.057320672302273
dz,mp2a,1.0,Acp,-1.4020718813387845
dz,mp2b,1.0,Acp,-1.4308838186695865
dz,mp3b,1.0,Acp,0.7845583104006337
dz,mp3d,1.0,Acp,0.7742243286854472
dz,mp2a,1.0,Acpgrid,-1.4060763465485544
dz,mp2b,1.0,Acpgrid,-1.434737874603447
dz,mp3b,1.0,Acpgrid,0.4307771203756967
dz,mp3d,1.0,Acpgrid,0.41857521103846296
dz,mp2a,1.0,B,-1.277382932830542
dz,mp2b,1.0,B,-1.3008898336765529
dz,mp3b,1.0,B,-0.018583766618245706
dz,mp3d,1.0,B,-0.029462257195944766
dz,mp2a,1.0,Bcp,-1.2792726810313464
dz,mp2b,1.0,Bcp,-1.3032604767656921
dz,mp3b,1.0,Bcp,0.7005338948698122
dz,mp3d,1.0,Bcp,0.691397007931351
dz,mp2a,1.0,Bcpgrid,-1.282363962923741
dz,mp2b,1.0,Bcpgrid,-1.306604974711116
dz,mp3b,1.0,Bcpgrid,0.09995849152739454
dz,mp3d,1.0,Bcpgrid,0.0881096207530794
dz,mp2a,1.2,A,-1.423264799090186
dz,mp2b,1.2,A,-1.4494062150233624
dz,mp3b,1.2,A,-0.010736149462713063
dz,mp3d,1.2,A,-0.021925296271197547
dz,mp2a,1.2,AB,-2.7351183948493323
dz,mp2b,1.2,AB,-2.7856900126813606
dz,mp3b,1.2,AB,-0.02777272758282892
dz,mp3d,1.2,AB,-0.04968844343312703
dz,mp2a,1.2,Acp,-1.423522092519065
dz,mp2b,1.2,Acp,-1.449975354050912
dz,mp3b,1.2,Acp,0.8022632754161971
dz,mp3d,1.2,Acp,0.7928789741885541
dz,mp2a,1.2,Acpgrid,-1.4260668468681361
dz,mp2b,1.2,Acpgrid,-1.4525846637498017
dz,mp3b,1.2,Acpgrid,0.05105482205986625
dz,mp3d,1.2,Acpgrid,0.03922102182065766
dz,mp2a,1.2,B,-1.3103432143927907
dz,mp2b,1.2,B,-1.3323639024725638
dz,mp3b,1.2,B,-0.017720969605776155
dz,mp3d,1.2,B,-0.027895507047672574
dz,mp2a,1.2,Bcp,-1.313148189472441
dz,mp2b,1.2,Bcp,-1.3353071764986026
dz,mp3b,1.2,Bcp,0.7268687967445693
dz,mp3d,1.2,Bcp,0.719017019246816
dz,mp2a,1.2,Bcpgrid,-1.3108343428801812
dz,mp2b,1.2,Bcpgrid,-1.3332806418668843
dz,mp3b,1.2,Bcpgrid,0.012869865721415075
dz,mp3d,1.2,Bcpgrid,0.002551571896428434
dz,mp2a,1.4,A,-1.431104766271086
dz,mp2b,1.4,A,-1.4547049488192885
dz,mp3b,1.4,A,-0.01128615049400597
dz,mp3d,1.4,A,-0.021787670475791637
dz,mp2a,1.4,AB,-2.75620477619733
dz,mp2b,1.4,AB,-2.8018740036658247
dz,mp3b,1.4,AB,-0.02890379064026502
dz,mp3d,1.4,AB,-0.04950767888461735
dz,mp2a,1.4,Acp,-1.4334910773075855
dz,mp2b,1.4,Acp,-1.457196932778548
dz,mp3b,1.4,Acp,0.8087549615291154
dz,mp3d,1.4,Acp,0.8002276119599837
dz,mp2a,1.4,Acpgrid,-1.4335770688798513
dz,mp2b,1.4,Acpgrid,-1.4573471606958617
dz,mp3b,1.4,Acpgrid,0.0016288855691323767
dz,mp3d,1.4,Acpgrid,-0.008895562589696218
dz,mp2a,1.4,B,-1.3213512494288777
dz,mp2b,1.4,B,-1.3413085522824186
dz,mp3b,1.4,B,-0.01862781916314002
dz,mp3d,1.4,B,-0.028247431066744877
dz,mp2a,1.4,Bcp,-1.3233649304821753
dz,mp2b,1.4,Bcp,-1.3431815617679033
dz,mp3b,1.4,Bcp,0.7337917638151888
dz,mp3d,1.4,Bcp,0.7267512478254915
dz,mp2a,1.4,Bcpgrid,-1.323240902031562
dz,mp2b,1.4,Bcpgrid,-1.3435745981618417
dz,mp3b,1.4,Bcpgrid,-0.015931925257254467
dz,mp3d,1.4,Bcpgrid,-0.025741546482079505
dz,mp2a,1.6,A,-1.4354755991627886
dz,mp2b,1.6,A,-1.4553627237937277
dz,mp3b,1.6,A,-0.012320287405593211
dz,mp3d,1.6,A,-0.021838020041729994
dz,mp2a,1.6,AB,-2.769401310731169
dz,mp2b,1.6,AB,-2.8085087483527285
dz,mp3b,1.6,AB,-0.030719376124591635
dz,mp3d,1.6,AB,-0.049613380917523736
dz,mp2a,1.6,Acp,-1.4379117137191846
dz,mp2b,1.6,Acp,-1.457874928486862
dz,mp3b,1.6,Acp,0.8093319098853056
dz,mp3d,1.6,Acp,0.8016586770834108
dz,mp2a,1.6,Acpgrid,-1.437557455863609
dz,mp2b,1.6,Acpgrid,-1.4574137153012474
dz,mp3b,1.6,Acpgrid,-0.009015529405549616
dz,mp3d,1.6,Acpgrid,-0.01850891614962516
dz,mp2a,1.6,B,-1.3258572289566422
dz,mp2b,1.6,B,-1.3425044629140332
dz,mp3b,1.6,B,-0.020081692604954557
dz,mp3d,1.6,B,-0.028990416451588244
dz,mp2a,1.6,Bcp,-1.3288965560202355
dz,mp2b,1.6,Bcp,-1.3459256783380291
dz,mp3b,1.6,Bcp,0.7354049372105274
dz,mp3d,1.6,Bcp,0.7289887344374582
dz,mp2a,1.6,Bcpgrid,-1.3290612072563164
dz,mp2b,1.6,Bcpgrid,-1.3461716846798717
dz,mp3b,1.6,Bcpgrid,-0.015006555684079007
dz,mp3d,1.6,Bcpgrid,-0.023947610924173288
dz,mp2a,1.8,A,-1.4379187298464697
dz,mp2b,1.8,A,-1.4534985450372364
dz,mp3b,1.8,A,-0.0135863162576699
dz,mp3d,1.8,A,-0.022015000629560216
dz,mp2a,1.8,AB,-2.7766440703538517
dz,mp2b,1.8,AB,-2.8080059297921895
dz,mp3b,1.8,AB,-0.03310385524094078
dz,mp3d,1.8,AB,-0.05003802132753998
dz,mp2a,1.8,Acp,-1.4403049045970857
dz,mp2b,1.8,Acp,-1.4559702499113292
dz,mp3b,1.8,Acp,0.26868845134268105
dz,mp3d,1.8,Acp,0.2600128002400631
dz,mp2a,1.8,Acpgrid,-1.44012469057096
dz,mp2b,1.8,Acpgrid,-1.4558685774591502
dz,mp3b,1.8,Acpgrid,-0.010693921289220254
dz,mp3d,1.8,Acpgrid,-0.019184197672927672
dz,mp2a,1.8,B,-1.3299234758096579
dz,mp2b,1.8,B,-1.3432230280361201
dz,mp3b,1.8,B,-0.021864105812355178
dz,mp3d,1.8,B,-0.02995079727643593
dz,mp2a,1.8,Bcp,-1.3329028605698112
dz,mp2b,1.8,Bcp,-1.346315133647614
dz,mp3b,1.8,Bcp,0.735293288810381
dz,mp3d,1.8,Bcp,0.7297310293756976
dz,mp2a,1.8,Bcpgrid,-1.3328486628047207
dz,mp2b,1.8,Bcpgrid,-1.3461981097448392
dz,mp3b,1.8,Bcpgrid,-0.01884914818733574
dz,mp3d,1.8,Bcpgrid,-0.0268917337389096
dz,mp2a,2.0,A,-1.4382677869275349
dz,mp2b,2.0,A,-1.4503047649540595
dz,mp3b,2.0,A,-0.014505774927763143
dz,mp3d,2.0,A,-0.021929959101595897
dz,mp2a,2.0,AB,-2.7780854987278856
dz,mp2b,2.0,AB,-2.8024674214806082
dz,mp3b,2.0,AB,-0.0351688648665876
dz,mp3d,2.0,AB,-0.05034090947687142
dz,mp2a,2.0,Acp,-1.4405293038694218
dz,mp2b,2.0,Acp,-1.4528136909190341
dz,mp3b,2.0,Acp,0.029098736338417475
dz,mp3d,2.0,Acp,0.021541187052257965
dz,mp2a,2.0,Acpgrid,-1.4405154884362188
dz,mp2b,2.0,Acpgrid,-1.4528760048836284
dz,mp3b,2.0,Acpgrid,-0.01295928019741377
dz,mp3d,2.0,Acpgrid,-0.020504224951633288
dz,mp2a,2.0,B,-1.330616814067057
dz,mp2b,2.0,B,-1.3405571750452865
dz,mp3b,2.0,B,-0.02289424422873032
dz,mp3d,2.0,B,-0.03001379775353452
dz,mp2a,2.0,Bcp,-1.3334371474880493
dz,mp2b,2.0,Bcp,-1.343705209208981
dz,mp3b,2.0,Bcp,0.4294959027204196
dz,mp3d,2.0,Bcp,0.4238157145446412
dz,mp2a,2.0,Bcpgrid,-1.3333909654991418
dz,mp2b,2.0,Bcpgrid,-1.3438115222111402
dz,mp3b,2.0,Bcpgrid,-0.020682653387800537
dz,mp3d,2.0,Bcpgrid,-0.02797671587154324
dz,mp2a,2.2,A,-1.4384195885060778
dz,mp2b,2.2,A,-1.4477612126916939
dz,mp3b,2.2,A,-0.015113743176889516
dz,mp3d,2.2,A,-0.021632701982970348
dz,mp2a,2.2,AB,-2.778353869642184
dz,mp2b,2.2,AB,-2.7972304444664164
dz,mp3b,2.2,AB,-0.03636201329673172
dz,mp3d,2.2,AB,-0.05004890138325285
dz,mp2a,2.2,Acp,-1.440658130395597
dz,mp2b,2.2,Acp,-1.450349833004927
dz,mp3b,2.2,Acp,-0.0074599048484529085
dz,mp3d,2.2,Acp,-0.01403552545673753
dz,mp2a,2.2,Acpgrid,-1.4406839334957262
dz,mp2b,2.2,Acpgrid,-1.4501421174120555
dz,mp3b,2.2,Acpgrid,-0.014364328938774457
dz,mp3d,2.2,Acpgrid,-0.021012783418162456
dz,mp2a,2.2,B,-1.330829304981754
dz,mp2b,2.2,B,-1.3387334991983566
dz,mp3b,2.2,B,-0.023143602721461404
dz,mp3d,2.2,B,-0.029614804486895574
dz,mp2a,2.2,Bcp,-1.3335488649704406
dz,mp2b,2.2,Bcp,-1.3414818134838438
dz,mp3b,2.2,Bcp,0.07245761691300967
dz,mp3d,2.2,Bcp,0.06612048196470702
dz,mp2a,2.2,Bcpgrid,-1.3335454844341554
dz,mp2b,2.2,Bcpgrid,-1.3415593393080292
dz,mp3b,2.2,Bcpgrid,-0.021790219840309738
dz,mp3d,2.2,Bcpgrid,-0.02839245450704428
dz,mp2a,2.4,A,-1.4384527383944927
dz,mp2b,2.4,A,-1.4456594162311136
dz,mp3b,2.4,A,-0.0155912564588164
dz,mp3d,2.4,A,-0.021376056138021682
dz,mp2a,2.4,AB,-2.778509210695268
dz,mp2b,2.4,AB,-2.7932402191010732
dz,mp3b,2.4,AB,-0.0371491804171431
dz,mp3d,2.4,AB,-0.049403151134537915
dz,mp2a,2.4,Acp,-1.4407227543245131
dz,mp2b,2.4,Acp,-1.4480828769416112
dz,mp3b,2.4,Acp,-0.012304296607228343
dz,mp3d,2.4,Acp,-0.01803989877526907
