Basis,Method,X,Angle,Energy
dz,mp2,1.0,A,-1.1854776731197378
dz,mp3,1.0,A,-0.013751556550779306
dz,mp2,1.0,AB,-2.633117266340089
dz,mp3,1.0,AB,-0.02860093446511276
dz,mp2,1.0,Acp,-1.1881808142166081
dz,mp3,1.0,Acp,-0.013109436990531222
dz,mp2,1.0,Acpgrid,-1.1881808142166081
dz,mp3,1.0,Acpgrid,-0.013109436990531222
dz,mp2,1.0,B,-1.4385343389642589
dz,mp3,1.0,B,-0.016526558443251405
dz,mp2,1.0,Bcp,-1.440787470649994
dz,mp3,1.0,Bcp,-0.016045959009172633
dz,mp2,1.0,Bcpgrid,-1.440787470649994
dz,mp3,1.0,Bcpgrid,-0.016045959009172633
dz,mp2a,1.0,A,-1.1417239861426163
dz,mp2b,1.0,A,-1.1619950845331692
dz,mp3b,1.0,A,-0.010446501724011972
dz,mp3d,1.0,A,-0.0202669219784732
dz,mp2a,1.0,AB,-2.520295428967303
dz,mp2b,1.0,AB,-2.5706860840456973
dz,mp3b,1.0,AB,-0.024160796386823724
dz,mp3d,1.0,AB,-0.04663079072334489
dz,mp2a,1.0,Acp,-1.143671858026965
dz,mp2b,1.0,Acp,-1.1646807394637524
dz,mp3b,1.0,Acp,0.6373058019208122
dz,mp3d,1.0,Acp,0.6289138449468885
dz,mp2a,1.0,Acpgrid,-1.138433732214898
dz,mp2b,1.0,Acpgrid,-1.159142034458768
dz,mp3b,1.0,Acpgrid,0.08695655165974787
dz,mp3d,1.0,Acpgrid,0.07636351730612703
dz,mp2a,1.0,B,-1.3998940080581548
dz,mp2b,1.0,B,-1.428631869598354
dz,mp3b,1.0,B,-0.012444425491849903
dz,mp3d,1.0,B,-0.02445356710650745
dz,mp2a,1.0,Bcp,-1.4025324364577085
dz,mp2b,1.0,Bcp,-1.4309545118260258
dz,mp3b,1.0,Bcp,0.7840389919706984
dz,mp3d,1.0,Bcp,0.7739463243414747
dz,mp2a,1.0,Bcpgrid,-1.40324759930254
dz,mp2b,1.0,Bcpgrid,-1.4318707435933704
dz,mp3b,1.0,Bcpgrid,0.4217651377051972
dz,mp3d,1.0,Bcpgrid,0.4096215285719125
dz,mp2a,1.2,A,-1.1702599541464855
dz,mp2b,1.2,A,-1.1892141697809318
dz,mp3b,1.2,A,-0.009237586880042198
dz,mp3d,1.2,A,-0.018470548288005317
dz,mp2a,1.2,AB,-2.5928287984569485
dz,mp2b,1.2,AB,-2.6397211115468115
dz,mp3b,1.2,AB,-0.020097816328409096
dz,mp3d,1.2,AB,-0.04090206820545031
dz,mp2a,1.2,Acp,-1.1712287827485066
dz,mp2b,1.2,Acp,-1.1907083923156754
dz,mp3b,1.2,Acp,0.6583683664462392
dz,mp3d,1.2,Acp,0.6512367007224757
dz,mp2a,1.2,Acpgrid,-1.1709661316739477
dz,mp2b,1.2,Acpgrid,-1.1901693102899147
dz,mp3b,1.2,Acpgrid,0.01366184595512826
dz,mp3d,1.2,Acpgrid,0.00434500325101414
dz,mp2a,1.2,B,-1.4224849943095386
dz,mp2b,1.2,B,-1.448838561641418
dz,mp3b,1.2,B,-0.010628663122580442
dz,mp3d,1.2,B,-0.021834244256230734
dz,mp2a,1.2,Bcp,-1.4254108357066073
dz,mp2b,1.2,Bcp,-1.4517902645176743
dz,mp3b,1.2,Bcp,0.8034294242073718
dz,mp3d,1.2,Bcp,0.7942484124660152
dz,mp2a,1.2,Bcpgrid,-1.4248359727846456
dz,mp2b,1.2,Bcpgrid,-1.4512163553569901
dz,mp3b,1.2,Bcpgrid,0.05535692489363975
dz,mp3d,1.2,Bcpgrid,0.04371322467168902
dz,mp2a,1.4,A,-1.1780455913468304
dz,mp2b,1.4,A,-1.1954308574642667
dz,mp3b,1.4,A,-0.009379910332972433
dz,mp3d,1.4,A,-0.018068113417023246
dz,mp2a,1.4,AB,-2.6141224511680923
dz,mp2b,1.4,AB,-2.656788215840322
dz,mp3b,1.4,AB,-0.02010826220933415
dz,mp3d,1.4,AB,-0.03959064182002639
dz,mp2a,1.4,Acp,-1.181742356721991
dz,mp2b,1.4,Acp,-1.1991056973852252
dz,mp3b,1.4,Acp,0.6655156298865795
dz,mp3d,1.4,Acp,0.6592023911414626
dz,mp2a,1.4,Acpgrid,-1.1815201169462688
dz,mp2b,1.4,Acpgrid,-1.198800784619602
dz,mp3b,1.4,Acpgrid,-0.007944142573580865
dz,mp3d,1.4,Acpgrid,-0.016655065739936706
dz,mp2a,1.4,B,-1.4315360827579302
dz,mp2b,1.4,B,-1.454976161711712
dz,mp3b,1.4,B,-0.011093339423751028
dz,mp3d,1.4,B,-0.021460910187675986
dz,mp2a,1.4,Bcp,-1.4333065687006088
dz,mp2b,1.4,Bcp,-1.457042550921325
dz,mp3b,1.4,Bcp,0.8089376781309894
dz,mp3d,1.4,Bcp,0.8003826707379972
dz,mp2a,1.4,Bcpgrid,-1.4323990365396497
dz,mp2b,1.4,Bcpgrid,-1.4562040141382115
dz,mp3b,1.4,Bcpgrid,0.002366200516362507
dz,mp3d,1.4,Bcpgrid,-0.008225472202615769
dz,mp2a,1.6,A,-1.1819091998700442
dz,mp2b,1.6,A,-1.1967663382666038
dz,mp3b,1.6,A,-0.010234378061639932
dz,mp3d,1.6,A,-0.018241354210251137
dz,mp2a,1.6,AB,-2.625730548594169
dz,mp2b,1.6,AB,-2.6629033183628863
dz,mp3b,1.6,AB,-0.02080740359046368
dz,mp3d,1.6,AB,-0.03878467465350394
dz,mp2a,1.6,Acp,-1.1856372545116725
dz,mp2b,1.6,Acp,-1.2001735210638032
dz,mp3b,1.6,Acp,0.6663208867462295
dz,mp3d,1.6,Acp,0.6606975444435554
dz,mp2a,1.6,Acpgrid,-1.1852996080217821
dz,mp2b,1.6,Acpgrid,-1.2001131824676483
dz,mp3b,1.6,Acpgrid,-0.007662128373736685
dz,mp3d,1.6,Acpgrid,-0.015759037337995538
dz,mp2a,1.6,B,-1.435430763279713
dz,mp2b,1.6,B,-1.4553967337876632
dz,mp3b,1.6,B,-0.011993639334453826
dz,mp3d,1.6,B,-0.02147595064811006
dz,mp2a,1.6,Bcp,-1.4380040362508282
dz,mp2b,1.6,Bcp,-1.4576114028919478
dz,mp3b,1.6,Bcp,0.8098061709231472
dz,mp3d,1.6,Bcp,0.8022051785047705
dz,mp2a,1.6,Bcpgrid,-1.4381138963197266
dz,mp2b,1.6,Bcpgrid,-1.457958517479111
dz,mp3b,1.6,Bcpgrid,-0.009435071245970456
dz,mp3d,1.6,Bcpgrid,-0.01899664537877535
dz,mp2a,1.8,A,-1.1845542051107705
dz,mp2b,1.8,A,-1.195846255108128
dz,mp3b,1.8,A,-0.011876696907076503
dz,mp3d,1.8,A,-0.0189177203261139
dz,mp2a,1.8,AB,-2.631603839982451
dz,mp2b,1.8,AB,-2.6608132824518984
dz,mp3b,1.8,AB,-0.023468679718345875
dz,mp3d,1.8,AB,-0.03952311491002278
dz,mp2a,1.8,Acp,-1.1877092098439515
dz,mp2b,1.8,Acp,-1.1992090961091686
dz,mp3b,1.8,Acp,0.6653672038705367
dz,mp3d,1.8,Acp,0.6604668667691009
dz,mp2a,1.8,Acpgrid,-1.1874318725713389
dz,mp2b,1.8,Acpgrid,-1.1988080361634523
dz,mp3b,1.8,Acpgrid,-0.010297742546886507
dz,mp3d,1.8,Acpgrid,-0.01750118698525549
dz,mp2a,1.8,B,-1.4379005374571383
dz,mp2b,1.8,B,-1.4538241729991424
dz,mp3b,1.8,B,-0.013489531730611265
dz,mp3d,1.8,B,-0.02191878334729422
dz,mp2a,1.8,Bcp,-1.4402238345122012
dz,mp2b,1.8,Bcp,-1.4559225359459558
dz,mp3b,1.8,Bcp,0.808296601438993
dz,mp3d,1.8,Bcp,0.8015870176550747
dz,mp2a,1.8,Bcpgrid,-1.4401909806502793
dz,mp2b,1.8,Bcpgrid,-1.4560527715839076
dz,mp3b,1.8,Bcpgrid,-0.010807498192035997
dz,mp3d,1.8,Bcpgrid,-0.01929253969135003
dz,mp2a,2.0,A,-1.1852257254788352
dz,mp2b,2.0,A,-1.1937012282560755
dz,mp3b,2.0,A,-0.012737200379798377
dz,mp3d,2.0,A,-0.01912925817115492
dz,mp2a,2.0,AB,-2.632624112483847
dz,mp2b,2.0,AB,-2.655140499941312
dz,mp3b,2.0,AB,-0.025153774317442562
dz,mp3d,2.0,AB,-0.03953995897009943
dz,mp2a,2.0,Acp,-1.1880290494429495
dz,mp2b,2.0,Acp,-1.1968057660720954
dz,mp3b,2.0,Acp,0.6630558362957519
dz,mp3d,2.0,Acp,0.6587884381961855
dz,mp2a,2.0,Acpgrid,-1.1879819074619942
dz,mp2b,2.0,Acpgrid,-1.196560498630284
dz,mp3b,2.0,Acpgrid,-0.011110155132314864
dz,mp3d,2.0,Acpgrid,-0.01751146795323595
dz,mp2a,2.0,B,-1.4382683226633388
dz,mp2b,2.0,B,-1.450462063344865
dz,mp3b,2.0,B,-0.014445012960774134
dz,mp3d,2.0,B,-0.021895781505366363
dz,mp2a,2.0,Bcp,-1.4405714213265028
dz,mp2b,2.0,Bcp,-1.4530761973429875
dz,mp3b,2.0,Bcp,0.8058746635406924
dz,mp3d,2.0,Bcp,0.7999208551424077
dz,mp2a,2.0,Bcpgrid,-1.4405348758086618
dz,mp2b,2.0,Bcpgrid,-1.4527715155319516
dz,mp3b,2.0,Bcpgrid,-0.012765710520331736
dz,mp3d,2.0,Bcpgrid,-0.02019728317304359
dz,mp2a,2.2,A,-1.1853967673487305
dz,mp2b,2.2,A,-1.1918425802947874
dz,mp3b,2.2,A,-0.013049305719982668
dz,mp3d,2.2,A,-0.018830203026846598
dz,mp2a,2.2,AB,-2.6329066306452447
dz,mp2b,2.2,AB,-2.650402197165297
dz,mp3b,2.2,AB,-0.026265179211695244
dz,mp3d,2.2,AB,-0.03917040518517895
dz,mp2a,2.2,Acp,-1.1881220702278166
dz,mp2b,2.2,Acp,-1.1947796763978626
dz,mp3b,2.2,Acp,0.27710436887379764
dz,mp3d,2.2,Acp,0.27213147024347034
dz,mp2a,2.2,Acpgrid,-1.1880967272607084
dz,mp2b,2.2,Acpgrid,-1.1947337991693212
dz,mp3b,2.2,Acpgrid,-0.011998751480064296
dz,mp3d,2.2,Acpgrid,-0.017771391594202143
dz,mp2a,2.2,B,-1.4383836565316135
dz,mp2b,2.2,B,-1.4477772011380732
dz,mp3b,2.2,B,-0.015065907903538012
dz,mp3d,2.2,B,-0.02167515384714147
dz,mp2a,2.2,Bcp,-1.4406957505348759
dz,mp2b,2.2,Bcp,-1.4502753023924626
dz,mp3b,2.2,Bcp,0.3760397787828909
dz,mp3d,2.2,Bcp,0.3698739246363041
dz,mp2a,2.2,Bcpgrid,-1.4406883967615447
dz,mp2b,2.2,Bcpgrid,-1.450283038394968
dz,mp3b,2.2,Bcpgrid,-0.014136087093289451
dz,mp3d,2.2,Bcpgrid,-0.020818961545389814
dz,mp2a,2.4,A,-1.1854291123215208
dz,mp2b,2.4,A,-1.1903586294638735
