Basis,Method,X,Angle,Energy
dz,mp2,1.0,A,-1.171849207254515
dz,mp3,1.0,A,-0.020818556456318627
dz,mp2,1.0,AB,-2.797281662498805
dz,mp3,1.0,AB,-0.033810292352212896
dz,mp2,1.0,Acp,-1.1755171893730028
dz,mp3,1.0,Acp,-0.020024167946204315
dz,mp2,1.0,Acpgrid,-1.1755171893730028
dz,mp3,1.0,Acpgrid,-0.020024167946204315
dz,mp2,1.0,B,-1.6176915017875615
dz,mp3,1.0,B,-0.013640145828305325
dz,mp2,1.0,Bcp,-1.6201917356735058
dz,mp3,1.0,Bcp,-0.01314784354387852
dz,mp2,1.0,Bcpgrid,-1.6201917356735058
dz,mp3,1.0,Bcpgrid,-0.01314784354387852
dz,mp2a,1.0,A,-1.1274470298076555
dz,mp2b,1.0,A,-1.1488521323161014
dz,mp3b,1.0,A,-0.0167398487400625
dz,mp3d,1.0,A,-0.02634133690586804
dz,mp2a,1.0,AB,-2.6874584575455485
dz,mp2b,1.0,AB,-2.7405559678958986
dz,mp3b,1.0,AB,-0.027619767916569032
dz,mp3d,1.0,AB,-0.051143403683219735
dz,mp2a,1.0,Acp,-1.1310692102598034
dz,mp2b,1.0,Acp,-1.152993312973226
dz,mp3b,1.0,Acp,0.6188061489660586
dz,mp3d,1.0,Acp,0.6105732530282967
dz,mp2a,1.0,Acpgrid,-1.1274523366229592
dz,mp2b,1.0,Acpgrid,-1.14931431333467
dz,mp3b,1.0,Acpgrid,0.28710737821735155
dz,mp3d,1.0,Acpgrid,0.27735785194205875
dz,mp2a,1.0,B,-1.5551839775995422
dz,mp2b,1.0,B,-1.5856965480324527
dz,mp3b,1.0,B,-0.011629933029072836
dz,mp3d,1.0,B,-0.025381901124390926
dz,mp2a,1.0,Bcp,-1.5618350719957652
dz,mp2b,1.0,Bcp,-1.5932549350255312
dz,mp3b,1.0,Bcp,0.8714012130697791
dz,mp3d,1.0,Bcp,0.8596766120653634
dz,mp2a,1.0,Bcpgrid,-1.5531105158047533
dz,mp2b,1.0,Bcpgrid,-1.5838227623455032
dz,mp3b,1.0,Bcpgrid,0.4205170482611535
dz,mp3d,1.0,Bcpgrid,0.4066835451075335
dz,mp2a,1.2,A,-1.1541537710503822
dz,mp2b,1.2,A,-1.1742143270440621
dz,mp3b,1.2,A,-0.016668117112847547
dz,mp3d,1.2,A,-0.02571074697881591
dz,mp2a,1.2,AB,-2.7585404804757605
