Basis,Method,X,Angle,Energy
dz,mp2,1.0,A,-1.4560073500773218
dz,mp3,1.0,A,-0.008994346954423997
dz,mp2,1.0,AB,-2.903333917306758
dz,mp3,1.0,AB,-0.02385277631848274
dz,mp2,1.0,Acp,-1.4581358206566835
dz,mp3,1.0,Acp,-0.008531488449117823
dz,mp2,1.0,Acpgrid,-1.4581358206566835
dz,mp3,1.0,Acpgrid,-0.008531488449117823
dz,mp2,1.0,B,-1.438611005357147
dz,mp3,1.0,B,-0.016548990129569185
dz,mp2,1.0,Bcp,-1.4407582607107507
dz,mp3,1.0,Bcp,-0.01607408462924111
dz,mp2,1.0,Bcpgrid,-1.4407582607107507
dz,mp3,1.0,Bcpgrid,-0.01607408462924111
dz,mp2a,1.0,A,-1.3930235970308305
dz,mp2b,1.0,A,-1.420858311822088
dz,mp3b,1.0,A,-0.0064878054073662095
dz,mp3d,1.0,A,-0.019126942974177302
dz,mp2a,1.0,AB,-2.77863580512696
dz,mp2b,1.0,AB,-2.8351613559822804
dz,mp3b,1.0,AB,-0.021404524303156425
dz,mp3d,1.0,AB,-0.04620816155515703
dz,mp2a,1.0,Acp,-1.3989904731095373
dz,mp2b,1.0,Acp,-1.4265748101866706
dz,mp3b,1.0,Acp,0.7875687431869334
dz,mp3d,1.0,Acp,0.7772577389306015
dz,mp2a,1.0,Acpgrid,-1.3949366174459716
dz,mp2b,1.0,Acpgrid,-1.4226347608164813
dz,mp3b,1.0,Acpgrid,0.13452461716313194
dz,mp3d,1.0,Acpgrid,0.12097636531861665
dz,mp2a,1.0,B,-1.4024020988665045
dz,mp2b,1.0,B,-1.4307787107581837
dz,mp3b,1.0,B,-0.0119217113401507
dz,mp3d,1.0,B,-0.023894584069559605
dz,mp2a,1.0,Bcp,-1.4004513847958233
dz,mp2b,1.0,Bcp,-1.4289909882464225
dz,mp3b,1.0,Bcp,0.7827378705680614
dz,mp3d,1.0,Bcp,0.772566861497429
dz,mp2a,1.0,Bcpgrid,-1.4027997725373924
dz,mp2b,1.0,Bcpgrid,-1.4313706879265107
dz,mp3b,1.0,Bcpgrid,0.4337988971290187
dz,mp3d,1.0,Bcpgrid,0.42155986924946875
dz,mp2a,1.2,A,-1.4364883772026884
dz,mp2b,1.2,A,-1.4627746587008756
dz,mp3b,1.2,A,-0.0033608470838122767
dz,mp3d,1.2,A,-0.015158934370736774
dz,mp2a,1.2,AB,-2.863993031556796
dz,mp2b,1.2,AB,-2.918134041955147
dz,mp3b,1.2,AB,-0.013554306899065005
dz,mp3d,1.2,AB,-0.036882800662221604
dz,mp2a,1.2,Acp,-1.4384198493773588
dz,mp2b,1.2,Acp,-1.4648041743819906
dz,mp3b,1.2,Acp,0.8221129865304304
dz,mp3d,1.2,Acp,0.8128238073933138
dz,mp2a,1.2,Acpgrid,-1.4366777710022547
dz,mp2b,1.2,Acpgrid,-1.4630572140259592
dz,mp3b,1.2,Acpgrid,0.023354313606818902
dz,mp3d,1.2,Acpgrid,0.011187889689257324
dz,mp2a,1.2,B,-1.4239718671073516
dz,mp2b,1.2,B,-1.4504399950063904
dz,mp3b,1.2,B,-0.010931333823988434
dz,mp3d,1.2,B,-0.022215446463822078
dz,mp2a,1.2,Bcp,-1.4265018136876142
dz,mp2b,1.2,Bcp,-1.4528830571052667
dz,mp3b,1.2,Bcp,0.8043404575074118
dz,mp3d,1.2,Bcp,0.7951747074782157
dz,mp2a,1.2,Bcpgrid,-1.425648020721183
dz,mp2b,1.2,Bcpgrid,-1.4522729556798275
dz,mp3b,1.2,Bcpgrid,0.05084826125562161
dz,mp3d,1.2,Bcpgrid,0.038930141500362406
dz,mp2a,1.4,A,-1.446877250258341
dz,mp2b,1.4,A,-1.470834415282647
dz,mp3b,1.4,A,-0.003819705742111712
dz,mp3d,1.4,A,-0.014993573349708494
dz,mp2a,1.4,AB,-2.884504594047275
dz,mp2b,1.4,AB,-2.9337005097132147
dz,mp3b,1.4,AB,-0.014173746538172272
dz,mp3d,1.4,AB,-0.03595565661272457
dz,mp2a,1.4,Acp,-1.4495643321894045
dz,mp2b,1.4,Acp,-1.4736620342671394
dz,mp3b,1.4,Acp,0.8297678177922505
dz,mp3d,1.4,Acp,0.8212058233795483
dz,mp2a,1.4,Acpgrid,-1.4488935889371006
dz,mp2b,1.4,Acpgrid,-1.4729876930315335
dz,mp3b,1.4,Acpgrid,-0.0013261091737691577
dz,mp3d,1.4,Acpgrid,-0.012512600972340956
dz,mp2a,1.4,B,-1.4312201997678264
dz,mp2b,1.4,B,-1.4546532912166046
dz,mp3b,1.4,B,-0.01140806053719999
dz,mp3d,1.4,B,-0.021862935421397167
dz,mp2a,1.4,Bcp,-1.4335806238678273
dz,mp2b,1.4,Bcp,-1.4577689789567179
dz,mp3b,1.4,Bcp,0.8098017712816847
dz,mp3d,1.4,Bcp,0.8011281515479654
dz,mp2a,1.4,Bcpgrid,-1.4331429139986112
dz,mp2b,1.4,Bcpgrid,-1.4567949414656385
dz,mp3b,1.4,Bcpgrid,0.003329470389209513
dz,mp3d,1.4,Bcpgrid,-0.007157285169801644
dz,mp2a,1.6,A,-1.451993677525509
dz,mp2b,1.6,A,-1.4723637308718436
dz,mp3b,1.6,A,-0.004351801855651066
dz,mp3d,1.6,A,-0.014442365588536094
dz,mp2a,1.6,AB,-2.8945171748549203
dz,mp2b,1.6,AB,-2.9371591746888317
dz,mp3b,1.6,AB,-0.014862691951014306
dz,mp3d,1.6,AB,-0.03496908974206703
dz,mp2a,1.6,Acp,-1.4542532873418301
dz,mp2b,1.6,Acp,-1.4750074884727227
dz,mp3b,1.6,Acp,0.8312850432684152
dz,mp3d,1.6,Acp,0.8234792029979255
dz,mp2a,1.6,Acpgrid,-1.4547647099106586
dz,mp2b,1.6,Acpgrid,-1.4755946657601142
dz,mp3b,1.6,Acpgrid,-0.0006864375999002248
dz,mp3d,1.6,Acpgrid,-0.010892291222236311
dz,mp2a,1.6,B,-1.4353878755881762
dz,mp2b,1.6,B,-1.4550869341619244
dz,mp3b,1.6,B,-0.012519699691602326
dz,mp3d,1.6,B,-0.021969537908470227
dz,mp2a,1.6,Bcp,-1.438146579759463
dz,mp2b,1.6,Bcp,-1.4583198792264316
dz,mp3b,1.6,Bcp,0.810166127262711
dz,mp3d,1.6,Bcp,0.8024771054886418
dz,mp2a,1.6,Bcpgrid,-1.4382130111803586
dz,mp2b,1.6,Bcpgrid,-1.4578622003228499
dz,mp3b,1.6,Bcpgrid,-0.008273981112596224
dz,mp3d,1.6,Bcpgrid,-0.017735809151006532
dz,mp2a,1.8,A,-1.4549293875534146
dz,mp2b,1.8,A,-1.4715632830433374
dz,mp3b,1.8,A,-0.005483662226009989
dz,mp3d,1.8,A,-0.014622243315841083
dz,mp2a,1.8,AB,-2.9013336870799638
dz,mp2b,1.8,AB,-2.935526814493845
dz,mp3b,1.8,AB,-0.01756905108370055
dz,mp3d,1.8,AB,-0.035439402245773854
dz,mp2a,1.8,Acp,-1.4571881956448622
dz,mp2b,1.8,Acp,-1.4739810317998625
dz,mp3b,1.8,Acp,0.3869363819768651
dz,mp3d,1.8,Acp,0.3783109377760554
dz,mp2a,1.8,Acpgrid,-1.4572478760030256
dz,mp2b,1.8,Acpgrid,-1.473726324063033
dz,mp3b,1.8,Acpgrid,-0.003928640850998366
dz,mp3d,1.8,Acpgrid,-0.012988993944601679
dz,mp2a,1.8,B,-1.4379024068752824
dz,mp2b,1.8,B,-1.453820413990594
dz,mp3b,1.8,B,-0.013447193181000044
dz,mp3d,1.8,B,-0.02188962900310437
dz,mp2a,1.8,Bcp,-1.4401672338649463
dz,mp2b,1.8,Bcp,-1.4563758468809334
dz,mp3b,1.8,Bcp,0.8085958445289843
dz,mp3d,1.8,Bcp,0.8017796313152165
dz,mp2a,1.8,Bcpgrid,-1.4401395934373942
dz,mp2b,1.8,Bcpgrid,-1.4559793901631721
dz,mp3b,1.8,Bcpgrid,-0.010838993874957958
dz,mp3d,1.8,Bcpgrid,-0.019375304687518885
dz,mp2a,2.0,A,-1.4557158568922361
dz,mp2b,2.0,A,-1.4685061732790448
dz,mp3b,2.0,A,-0.006710785237204614
dz,mp3d,2.0,A,-0.014702588076966977
dz,mp2a,2.0,AB,-2.9027893458617884
dz,mp2b,2.0,AB,-2.9300960352347287
dz,mp3b,2.0,AB,-0.019203975592895994
dz,mp3d,2.0,AB,-0.03523138022664035
dz,mp2a,2.0,Acp,-1.4579073911499427
dz,mp2b,2.0,Acp,-1.4709956229040722
dz,mp3b,2.0,Acp,0.05136817160673693
dz,mp3d,2.0,Acp,0.04296068604109393
dz,mp2a,2.0,Acpgrid,-1.457909950780511
dz,mp2b,2.0,Acpgrid,-1.4709626110852358
dz,mp3b,2.0,Acpgrid,-0.0053020459332261405
dz,mp3d,2.0,Acpgrid,-0.01341876221103036
dz,mp2a,2.0,B,-1.4383101056667724
dz,mp2b,2.0,B,-1.4507381120112932
dz,mp3b,2.0,B,-0.01434871674982674
dz,mp3d,2.0,B,-0.021894594807157775
dz,mp2a,2.0,Bcp,-1.4405655834054458
dz,mp2b,2.0,Bcp,-1.4529632869659612
dz,mp3b,2.0,Bcp,0.6751357816276686
dz,mp3d,2.0,Bcp,0.6688674388209734
dz,mp2a,2.0,Bcpgrid,-1.4405135566964429
dz,mp2b,2.0,Bcpgrid,-1.4527122105790162
dz,mp3b,2.0,Bcpgrid,-0.013256384044659758
dz,mp3d,2.0,Bcpgrid,-0.020758800382265435
dz,mp2a,2.2,A,-1.4558644996784451
dz,mp2b,2.2,A,-1.4658469192920718
dz,mp3b,2.2,A,-0.00744508296157953
dz,mp3d,2.2,A,-0.014525029879927986
dz,mp2a,2.2,AB,-2.9031063711905505
dz,mp2b,2.2,AB,-2.9242754502274693
dz,mp3b,2.2,AB,-0.020609989569925546
dz,mp3d,2.2,AB,-0.0348929744962545
dz,mp2a,2.2,Acp,-1.4579881246215336
dz,mp2b,2.2,Acp,-1.4679651099875832
dz,mp3b,2.2,Acp,0.0017702820003921982
dz,mp3d,2.2,Acp,-0.005292241544626458
dz,mp2a,2.2,Acpgrid,-1.4580502831379647
dz,mp2b,2.2,Acpgrid,-1.4684398405336005
dz,mp3b,2.2,Acpgrid,-0.006537063585884961
dz,mp3d,2.2,Acpgrid,-0.013823576617161298
dz,mp2a,2.2,B,-1.4384834100452641
dz,mp2b,2.2,B,-1.4479422942491822
dz,mp3b,2.2,B,-0.015104995414797734
dz,mp3d,2.2,B,-0.021742755749668358
dz,mp2a,2.2,Bcp,-1.4406751716078854
dz,mp2b,2.2,Bcp,-1.4502572615220917
dz,mp3b,2.2,Bcp,0.13157430290113314
dz,mp3d,2.2,Bcp,0.12497252079001067
dz,mp2a,2.2,Bcpgrid,-1.4406323137985275
dz,mp2b,2.2,Bcpgrid,-1.4501090185806342
dz,mp3b,2.2,Bcpgrid,-0.01426675841277883
dz,mp3d,2.2,Bcpgrid,-0.0209408984934763
dz,mp2a,2.4,A,-1.4559089298516423
dz,mp2b,2.4,A,-1.4636038790559858
dz,mp3b,2.4,A,-0.007956193569827658
dz,mp3d,2.4,A,-0.014260394571880913
dz,mp2a,2.4,AB,-2.9032374321130368
dz,mp2b,2.4,AB,-2.9196405447500333
dz,mp3b,2.4,AB,-0.02165538290958474
dz,mp3d,2.4,AB,-0.034348841282827725
dz,mp2a,2.4,Acp,-1.458065058048303
dz,mp2b,2.4,Acp,-1.4657108259277538
dz,mp3b,2.4,Acp,-0.008569357875389538
dz,mp3d,2.4,Acp,-0.014842988719074218
dz,mp2a,2.4,Acpgrid,-1.458093472139962
dz,mp2b,2.4,Acpgrid,-1.465842334775485
dz,mp3b,2.4,Acpgrid,-0.00731426028809079
dz,mp3d,2.4,Acpgrid,-0.013678294297732513
dz,mp2a,2.4,B,-1.4385472792383185
dz,mp2b,2.4,B,-1.445618467540939
dz,mp3b,2.4,B,-0.015638407305702096
dz,mp3d,2.4,B,-0.021463358396372118
dz,mp2a,2.4,Bcp,-1.4407185851119901
dz,mp2b,2.4,Bcp,-1.447889370493681
dz,mp3b,2.4,Bcp,0.00967444524344202
dz,mp3d,2.4,Bcp,0.003987863222260052
dz,mp2a,2.4,Bcpgrid,-1.4407004815253406
dz,mp2b,2.4,Bcpgrid,-1.447847347468304
dz,mp3b,2.4,Bcpgrid,-0.014962150969835386
dz,mp3d,2.4,Bcpgrid,-0.020774096645324314
dz,mp2a,2.6,A,-1.455966448972593
dz,mp2b,2.6,A,-1.4617217993964067
dz,mp3b,2.6,A,-0.008325576028391707
dz,mp3d,2.6,A,-0.01378029724126198
dz,mp2a,2.6,AB,-2.903280929185197
dz,mp2b,2.6,AB,-2.9155049386436502
dz,mp3b,2.6,AB,-0.02254946121043455
dz,mp3d,2.6,AB,-0.03351413610361004
dz,mp2a,2.6,Acp,-1.4581046817655654
dz,mp2b,2.6,Acp,-1.4638906499960762
dz,mp3b,2.6,Acp,-0.005740084353543035
dz,mp3d,2.6,Acp,-0.011211887736415405
dz,mp2a,2.6,Acpgrid,-1.4581161668331435
dz,mp2b,2.6,Acpgrid,-1.4639727394721296
dz,mp3b,2.6,Acpgrid,-0.0077970160918212905
dz,mp3d,2.6,Acpgrid,-0.013267154563832317
dz,mp2a,2.6,B,-1.4385867745953673
dz,mp2b,2.6,B,-1.4439076435420637
dz,mp3b,2.6,B,-0.015930095478433937
dz,mp3d,2.6,B,-0.020904304184534678
dz,mp2a,2.6,Bcp,-1.4407422295999095
dz,mp2b,2.6,Bcp,-1.4461545539173348
dz,mp3b,2.6,Bcp,-0.010953674160724514
dz,mp3d,2.6,Bcp,-0.015857695348557493
dz,mp2a,2.6,Bcpgrid,-1.440745465656664
dz,mp2b,2.6,Bcpgrid,-1.4462354018199701
dz,mp3b,2.6,Bcpgrid,-0.015408351860403652
dz,mp3d,2.6,Bcpgrid,-0.020467939771183885
dz,mp2a,2.8,A,-1.4559871828880357
dz,mp2b,2.8,A,-1.4601286335276036
dz,mp3b,2.8,A,-0.008620210368167847
dz,mp3d,2.8,A,-0.013182233311320485
dz,mp2a,2.8,AB,-2.9033122188027543
dz,mp2b,2.8,AB,-2.912420888171621
dz,mp3b,2.8,AB,-0.023167738599632892
dz,mp3d,2.8,AB,-0.03249956388575148
dz,mp2a,2.8,Acp,-1.458123521809394
dz,mp2b,2.8,Acp,-1.4623198683012442
dz,mp3b,2.8,Acp,-0.007024557318203506
dz,mp3d,2.8,Acp,-0.01165629218355943
dz,mp2a,2.8,Acpgrid,-1.4581349467836082
dz,mp2b,2.8,Acpgrid,-1.4623855325221122
dz,mp3b,2.8,Acpgrid,-0.008154824258963467
dz,mp3d,2.8,Acpgrid,-0.012842297842023676
dz,mp2a,2.8,B,-1.4386000804283583
dz,mp2b,2.8,B,-1.4425927154392544
dz,mp3b,2.8,B,-0.01617929898779899
dz,mp3d,2.8,B,-0.020297347441046137
dz,mp2a,2.8,Bcp,-1.4407492155523016
dz,mp2b,2.8,Bcp,-1.4448087575211885
dz,mp3b,2.8,Bcp,-0.013224553637852188
dz,mp3d,2.8,Bcp,-0.017402574830150314
dz,mp2a,2.8,Bcpgrid,-1.440749894880774
dz,mp2b,2.8,Bcpgrid,-1.4448135751547175
dz,mp3b,2.8,Bcpgrid,-0.015705237208581274
dz,mp3d,2.8,Bcpgrid,-0.019976268221509497
dz,mp2a,3.0,A,-1.4559983419213303
dz,mp2b,3.0,A,-1.4590695295862464
dz,mp3b,3.0,A,-0.008771518002489348
dz,mp3d,3.0,A,-0.012554688768736888
dz,mp2a,3.0,AB,-2.9033215804895516
dz,mp2b,3.0,AB,-2.9100893066331546
dz,mp3b,3.0,AB,-0.02343040372945454
dz,mp3d,3.0,AB,-0.031081791812367754
dz,mp2a,3.0,Acp,-1.4581277449794579
dz,mp2b,3.0,Acp,-1.4613174491618799
dz,mp3b,3.0,Acp,-0.007972880159352186
dz,mp3d,3.0,Acp,-0.011831467287032521
dz,mp2a,3.0,Acpgrid,-1.4581314437389064
dz,mp2b,3.0,Acpgrid,-1.4613144790243267
dz,mp3b,3.0,Acpgrid,-0.008293386810180159
dz,mp3d,3.0,Acpgrid,-0.01222580347976554
dz,mp2a,3.0,B,-1.438606529499017
dz,mp2b,3.0,B,-1.4414922467646014
dz,mp3b,3.0,B,-0.01634309632094902
dz,mp3d,3.0,B,-0.019650603600205596
dz,mp2a,3.0,Bcp,-1.4407549633723422
dz,mp2b,3.0,Bcp,-1.4437247105372935
dz,mp3b,3.0,Bcp,-0.014681139686007899
dz,mp3d,3.0,Bcp,-0.018095501375620465
dz,mp2a,3.0,Bcpgrid,-1.4407530698133797
dz,mp2b,3.0,Bcpgrid,-1.4437783307811523
dz,mp3b,3.0,Bcpgrid,-0.01581913378921057
dz,mp3d,3.0,Bcpgrid,-0.0192388983044042
dz,ccsd,1.0,A,-1.4804626063802337
dz,ccsd,1.0,AB,-2.9550431430940396
dz,ccsd,1.0,Acp,-1.4822605179438793
dz,ccsd,1.0,Acpgrid,-1.4822605179438793
dz,ccsd,1.0,B,-1.4682566809152626
dz,ccsd,1.0,Bcp,-1.4700888865296604
dz,ccsd,1.0,Bcpgrid,-1.4700888865296604
dz,ccsdthc,1.0,A,-1.3964233938870518
dz,ccsdthc,1.0,AB,-2.787631901911185
dz,ccsdthc,1.0,Acp,-0.9197887674686746
dz,ccsdthc,1.0,Acpgrid,-1.3114705177844903
dz,ccsdthc,1.0,B,-1.410183736178202
dz,ccsdthc,1.0,Bcp,-0.9220313203738717
