Basis,Method,X,Angle,Energy
dz,mp2,1.0,A,-1.1715476627326533
dz,mp3,1.0,A,-0.020973153721868504
dz,mp2,1.0,AB,-2.634272988445507
dz,mp3,1.0,AB,-0.028877179078038422
dz,mp2,1.0,Acp,-1.1745277022585356
dz,mp3,1.0,Acp,-0.02031175749457205
dz,mp2,1.0,Acpgrid,-1.1745277022585356
dz,mp3,1.0,Acpgrid,-0.02031175749457205
dz,mp2,1.0,B,-1.4565956792490273
dz,mp3,1.0,B,-0.008749343852401465
dz,mp2,1.0,Bcp,-1.458781656036181
dz,mp3,1.0,Bcp,-0.008275273965178052
dz,mp2,1.0,Bcpgrid,-1.458781656036181
dz,mp3,1.0,Bcpgrid,-0.008275273965178052
dz,mp2a,1.0,A,-1.1262258799063132
dz,mp2b,1.0,A,-1.1476134585188402
dz,mp3b,1.0,A,-0.016737014703364153
dz,mp3d,1.0,A,-0.02640665738437406
dz,mp2a,1.0,AB,-2.5193904670262297
dz,mp2b,1.0,AB,-2.5691000158123023
dz,mp3b,1.0,AB,-0.025691550159529924
dz,mp3d,1.0,AB,-0.0478750959212077
dz,mp2a,1.0,Acp,-1.1255459302105906
dz,mp2b,1.0,Acp,-1.147511568792094
dz,mp3b,1.0,Acp,0.6146838555898964
dz,mp3d,1.0,Acp,0.6063604977912991
dz,mp2a,1.0,Acpgrid,-1.1289749689579212
dz,mp2b,1.0,Acpgrid,-1.150723920746662
dz,mp3b,1.0,Acpgrid,0.2854210612027521
dz,mp3d,1.0,Acpgrid,0.2757798562296222
dz,mp2a,1.0,B,-1.3938750057076827
dz,mp2b,1.0,B,-1.4219195087038532
dz,mp3b,1.0,B,-0.007274098442455357
dz,mp3d,1.0,B,-0.019972611742339885
dz,mp2a,1.0,Bcp,-1.3916353562545605
dz,mp2b,1.0,Bcp,-1.419232176104626
dz,mp3b,1.0,Bcp,0.7794875527237367
dz,mp3d,1.0,Bcp,0.7689858040044388
dz,mp2a,1.0,Bcpgrid,-1.3954908783973217
dz,mp2b,1.0,Bcpgrid,-1.4228969942004752
dz,mp3b,1.0,Bcpgrid,0.38215154386316386
dz,mp3d,1.0,Bcpgrid,0.3697769333593194
dz,mp2a,1.2,A,-1.152580730820957
dz,mp2b,1.2,A,-1.173049436230246
dz,mp3b,1.2,A,-0.016025027878325576
dz,mp3d,1.2,A,-0.025170860069055473
dz,mp2a,1.2,AB,-2.5961350219353774
dz,mp2b,1.2,AB,-2.643302105225401
dz,mp3b,1.2,AB,-0.01941556739413458
dz,mp3d,1.2,AB,-0.04023767026941344
dz,mp2a,1.2,Acp,-1.158066959154769
dz,mp2b,1.2,Acp,-1.1786890644215533
dz,mp3b,1.2,Acp,0.641543070744683
dz,mp3d,1.2,Acp,0.6344076382949058
dz,mp2a,1.2,Acpgrid,-1.1555983669159162
dz,mp2b,1.2,Acpgrid,-1.176476354650628
dz,mp3b,1.2,Acpgrid,0.038308086346686726
dz,mp3d,1.2,Acpgrid,0.02875200498916032
dz,mp2a,1.2,B,-1.4365138467636043
dz,mp2b,1.2,B,-1.4628581276448935
dz,mp3b,1.2,B,-0.0031613182633773856
dz,mp3d,1.2,B,-0.014977388073742867
dz,mp2a,1.2,Bcp,-1.4409292492928427
dz,mp2b,1.2,Bcp,-1.4672444813620114
dz,mp3b,1.2,Bcp,0.8238945781542175
dz,mp3d,1.2,Bcp,0.8147041755783684
dz,mp2a,1.2,Bcpgrid,-1.4401665414175855
