Basis,Method,X,Angle,Energy
dz,mp2,1.0,A,-1.184672535000615
dz,mp3,1.0,A,-0.014089486766365253
dz,mp2,1.0,AB,-2.645723623175011
dz,mp3,1.0,AB,-0.02284667962091249
dz,mp2,1.0,Acp,-1.1868384871422102
dz,mp3,1.0,Acp,-0.013677385383512628
dz,mp2,1.0,Acpgrid,-1.1868384871422102
dz,mp3,1.0,Acpgrid,-0.013677385383512628
dz,mp2,1.0,B,-1.4557315069698944
dz,mp3,1.0,B,-0.009052689044373249
dz,mp2,1.0,Bcp,-1.4578200668395518
dz,mp3,1.0,Bcp,-0.008589232939349843
dz,mp2,1.0,Bcpgrid,-1.4578200668395518
dz,mp3,1.0,Bcpgrid,-0.008589232939349843
dz,mp2a,1.0,A,-1.1405113794788444
dz,mp2b,1.0,A,-1.160627120160598
dz,mp3b,1.0,A,-0.010140511490850296
dz,mp3d,1.0,A,-0.019981453042198144
dz,mp2a,1.0,AB,-2.528284979878805
dz,mp2b,1.0,AB,-2.5773425045266096
dz,mp3b,1.0,AB,-0.018857000534494295
dz,mp3d,1.0,AB,-0.0414932963980017
dz,mp2a,1.0,Acp,-1.1408925282175644
dz,mp2b,1.0,Acp,-1.1616845615138938
dz,mp3b,1.0,Acp,0.6338355447706955
dz,mp3d,1.0,Acp,0.6255428491981058
dz,mp2a,1.0,Acpgrid,-1.138996959320397
dz,mp2b,1.0,Acpgrid,-1.1594975061199326
dz,mp3b,1.0,Acpgrid,0.24964603558231308
dz,mp3d,1.0,Acpgrid,0.23981361593619804
dz,mp2a,1.0,B,-1.3948976563440896
dz,mp2b,1.0,B,-1.422998510683926
dz,mp3b,1.0,B,-0.007384948416618298
dz,mp3d,1.0,B,-0.02009409403425376
dz,mp2a,1.0,Bcp,-1.3987305073247045
dz,mp2b,1.0,Bcp,-1.4266787176229565
dz,mp3b,1.0,Bcp,0.7871176642847222
dz,mp3d,1.0,Bcp,0.7763713107903198
dz,mp2a,1.0,Bcpgrid,-1.3969676208949633
dz,mp2b,1.0,Bcpgrid,-1.4250728356164784
dz,mp3b,1.0,Bcpgrid,0.40010295769076876
dz,mp3d,1.0,Bcpgrid,0.38778660406145604
dz,mp2a,1.2,A,-1.1694876080865375
dz,mp2b,1.2,A,-1.1885712592409359
dz,mp3b,1.2,A,-0.009108608333094334
dz,mp3d,1.2,A,-0.018414801839728073
dz,mp2a,1.2,AB,-2.6120909657663303
dz,mp2b,1.2,AB,-2.6580770240942106
dz,mp3b,1.2,AB,-0.013338929411437578
dz,mp3d,1.2,AB,-0.034213048590806955
dz,mp2a,1.2,Acp,-1.1701888247569556
dz,mp2b,1.2,Acp,-1.1894067698074262
dz,mp3b,1.2,Acp,0.6563860372022039
dz,mp3d,1.2,Acp,0.6493916223946592
dz,mp2a,1.2,Acpgrid,-1.1713540957576978
dz,mp2b,1.2,Acpgrid,-1.190456885935746
dz,mp3b,1.2,Acpgrid,0.03180480170452257
dz,mp3d,1.2,Acpgrid,0.02215294172969265
dz,mp2a,1.2,B,-1.4372747143792504
dz,mp2b,1.2,B,-1.463335527316318
dz,mp3b,1.2,B,-0.003125764850688273
dz,mp3d,1.2,B,-0.014959414110579508
dz,mp2a,1.2,Bcp,-1.4389373399036316
dz,mp2b,1.2,Bcp,-1.4653723467055815
dz,mp3b,1.2,Bcp,0.8223783275473568
dz,mp3d,1.2,Bcp,0.8130567827538359
dz,mp2a,1.2,Bcpgrid,-1.4348248987433707
dz,mp2b,1.2,Bcpgrid,-1.4614820442802121
dz,mp3b,1.2,Bcpgrid,0.05006147179948514
dz,mp3d,1.2,Bcpgrid,0.03748419606867702
dz,mp2a,1.4,A,-1.1772880634292164
dz,mp2b,1.4,A,-1.1944600359949407
dz,mp3b,1.4,A,-0.009908844398839475
dz,mp3d,1.4,A,-0.018556278127966022
dz,mp2a,1.4,AB,-2.630920102107378
dz,mp2b,1.4,AB,-2.6727070795079557
dz,mp3b,1.4,AB,-0.013640154354432305
dz,mp3d,1.4,AB,-0.03328651351740597
dz,mp2a,1.4,Acp,-1.179088781076608
dz,mp2b,1.4,Acp,-1.196393907207073
dz,mp3b,1.4,Acp,0.6625213055843717
dz,mp3d,1.4,Acp,0.6562824893672763
dz,mp2a,1.4,Acpgrid,-1.1798036914626016
dz,mp2b,1.4,Acpgrid,-1.197407611989311
dz,mp3b,1.4,Acpgrid,-0.004417256790171034
dz,mp3d,1.4,Acpgrid,-0.013316169554834792
dz,mp2a,1.4,B,-1.4463407193144557
dz,mp2b,1.4,B,-1.4702068684311924
dz,mp3b,1.4,B,-0.003751705794303839
dz,mp3d,1.4,B,-0.014900294581331533
dz,mp2a,1.4,Bcp,-1.449783487467369
dz,mp2b,1.4,Bcp,-1.473958896973433
dz,mp3b,1.4,Bcp,0.8306594670804259
dz,mp3d,1.4,Bcp,0.8220656775129139
dz,mp2a,1.4,Bcpgrid,-1.4491009867899354
dz,mp2b,1.4,Bcpgrid,-1.4734458672336006
dz,mp3b,1.4,Bcpgrid,0.005414983553542668
dz,mp3d,1.4,Bcpgrid,-0.005794496277878716
dz,mp2a,1.6,A,-1.1810590164108008
dz,mp2b,1.6,A,-1.195570357942196
dz,mp3b,1.6,A,-0.010783133450189372
dz,mp3d,1.6,A,-0.018744937561683495
dz,mp2a,1.6,AB,-2.639344956685256
dz,mp2b,1.6,AB,-2.6753186911915723
dz,mp3b,1.6,AB,-0.015110381161620584
dz,mp3d,1.6,AB,-0.0332272872487491
dz,mp2a,1.6,Acp,-1.1838075663013659
dz,mp2b,1.6,Acp,-1.198515947942089
dz,mp3b,1.6,Acp,0.6639491015402985
dz,mp3d,1.6,Acp,0.6584043495956311
dz,mp2a,1.6,Acpgrid,-1.1836218671130534
dz,mp2b,1.6,Acpgrid,-1.1986345267416345
