Basis,Method,X,Angle,Energy
dz,mp2,1.0,1,-2.9115392683845576
dz,mp3,1.0,1,-0.023934905959757884
dz,mp2,1.0,2,-2.9088516390014605
dz,mp3,1.0,2,-0.026482953894663333
dz,mp2,1.0,3,-2.9045609624075426
dz,mp3,1.0,3,-0.02974403109060749
dz,mp2,1.0,4,-2.8992665140090517
dz,mp3,1.0,4,-0.03326532117138907
dz,mp2,1.0,5,-2.8947105935989286
dz,mp3,1.0,5,-0.03602773689858793
dz,mp2,1.0,6,-2.8910325273920114
dz,mp3,1.0,6,-0.038034515282691875
dz,mp2,1.0,7,-2.8883742709996083
dz,mp3,1.0,7,-0.039252057566509554
dz,mp2,1.0,8,-2.886492787397498
dz,mp3,1.0,8,-0.039759077879052265
dz,mp2,1.0,9,-2.8851911528150724
dz,mp3,1.0,9,-0.03960494477683973
dz,mp2,1.0,10,-2.879931625339663
dz,mp3,1.0,10,-0.04095886135038701
dz,mp2,1.0,11,-2.884909053662547
dz,mp3,1.0,11,-0.03957043455086398
dz,mp2,1.0,12,nan
dz,mp3,1.0,12,nan
dz,mp2,1.0,13,nan
dz,mp3,1.0,13,nan
dz,mp2,1.0,14,-2.8834805219452573
dz,mp3,1.0,14,-0.039630192292114376
dz,mp2a,1.0,1,-2.7600173292613417
dz,mp2b,1.0,1,-2.8187369173007895
dz,mp3b,1.0,1,-0.02747708831901083
dz,mp3d,1.0,1,-0.05117895594246083
dz,mp2a,1.0,2,-2.7611852603416462
dz,mp2b,1.0,2,-2.8199080691169875
dz,mp3b,1.0,2,-0.02778162490095737
dz,mp3d,1.0,2,-0.05138884235429972
dz,mp2a,1.0,3,-2.751503901705148
dz,mp2b,1.0,3,-2.8095194442569165
dz,mp3b,1.0,3,-0.030198747227860034
dz,mp3d,1.0,3,-0.05380313979710538
dz,mp2a,1.0,4,-2.745823388266755
dz,mp2b,1.0,4,-2.8030359816533696
dz,mp3b,1.0,4,-0.03481285081315333
dz,mp3d,1.0,4,-0.05833588859293315
dz,mp2a,1.0,5,-2.745849951078215
dz,mp2b,1.0,5,-2.803703550054914
dz,mp3b,1.0,5,-0.0353411926807915
dz,mp3d,1.0,5,-0.05892814604213359
dz,mp2a,1.0,6,-2.754586295701316
dz,mp2b,1.0,6,-2.8126039783105243
dz,mp3b,1.0,6,-0.03304994778453166
dz,mp3d,1.0,6,-0.05659007064597393
dz,mp2a,1.0,7,-2.746177934269321
dz,mp2b,1.0,7,-2.803739118827306
dz,mp3b,1.0,7,-0.03550652934287654
dz,mp3d,1.0,7,-0.05900772716064309
dz,mp2a,1.0,8,-2.7505318011233344
dz,mp2b,1.0,8,-2.8083948884570447
dz,mp3b,1.0,8,-0.035428981298794404
dz,mp3d,1.0,8,-0.058831823864848865
dz,mp2a,1.0,9,-2.74709560404703
dz,mp2b,1.0,9,-2.8045871925862746
dz,mp3b,1.0,9,-0.035030463588380495
dz,mp3d,1.0,9,-0.05850896968319938
dz,mp2a,1.0,10,-2.744666549144115
dz,mp2b,1.0,10,-2.8030230795365223
dz,mp3b,1.0,10,-0.03589876084942481
dz,mp3d,1.0,10,-0.05944569649511483
dz,mp2a,1.0,11,-2.759672318614044
dz,mp2b,1.0,11,-2.8181175566037115
dz,mp3b,1.0,11,-0.03237568357011372
dz,mp3d,1.0,11,-0.05579198498270513
dz,mp2a,1.0,12,nan
dz,mp2b,1.0,12,nan
dz,mp3b,1.0,12,nan
dz,mp3d,1.0,12,nan
dz,mp2a,1.0,13,nan
dz,mp2b,1.0,13,nan
dz,mp3b,1.0,13,nan
dz,mp3d,1.0,13,nan
dz,mp2a,1.0,14,-2.752679326233548
dz,mp2b,1.0,14,-2.8109435748341545
dz,mp3b,1.0,14,-0.033146937936411824
dz,mp3d,1.0,14,-0.05662769097254358
dz,mp2a,1.2,1,-2.8468862137780198
dz,mp2b,1.2,1,-2.9044705627504817
dz,mp3b,1.2,1,-0.016315431168358208
dz,mp3d,1.2,1,-0.0389971718725837
dz,mp2a,1.2,2,-2.84597023542147
