Basis,Method,X,Angle,Energy
dz,mp2,1.0,0,-2.917010762057631
dz,mp3,1.0,0,-0.15582443235702595
dz,mp2,1.0,5,-2.9170555835164977
dz,mp3,1.0,5,-0.15581999863998128
dz,mp2,1.0,10,-2.917115833609183
dz,mp3,1.0,10,-0.15582448588707995
dz,mp2,1.0,15,-2.9171828070076256
dz,mp3,1.0,15,-0.1558259857227024
dz,mp2,1.0,20,-2.917309996632308
dz,mp3,1.0,20,-0.1558144949738191
dz,mp2,1.0,25,-2.917536823272796
dz,mp3,1.0,25,-0.1557752902546948
dz,mp2,1.0,30,-2.9178663804394054
dz,mp3,1.0,30,-0.15570662817831918
dz,mp2,1.0,35,-2.9183065628606673
dz,mp3,1.0,35,-0.15560869684176176
dz,mp2,1.0,40,-2.9187978988557344
dz,mp3,1.0,40,-0.15550115076534624
dz,mp2,1.0,45,-2.9193224263618287
dz,mp3,1.0,45,-0.15538966298562243
dz,mp2,1.0,50,-2.9198776846734487
dz,mp3,1.0,50,-0.1552788750406066
dz,mp2,1.0,55,-2.9204926959504527
dz,mp3,1.0,55,-0.15516137864385374
dz,mp2,1.0,60,-2.92115802788226
dz,mp3,1.0,60,-0.15504027306433374
dz,mp2,1.0,65,-2.921871085320698
dz,mp3,1.0,65,-0.15491126931733387
dz,mp2,1.0,70,-2.9226326077431577
dz,mp3,1.0,70,-0.15477612113021047
dz,mp2,1.0,75,-2.9234432365206025
dz,mp3,1.0,75,-0.15463389997028057
dz,mp2,1.0,80,-2.9242739891310148
dz,mp3,1.0,80,-0.1544904131870308
dz,mp2,1.0,85,-2.925115325002336
dz,mp3,1.0,85,-0.15434725654053438
dz,mp2,1.0,90,-2.926059526904469
dz,mp3,1.0,90,-0.1541881100828603
dz,mp2,1.0,95,-2.927339231160055
dz,mp3,1.0,95,-0.153288640394329
dz,mp2,1.0,100,-2.9258672039732114
dz,mp3,1.0,100,-0.1536271106814947
dz,mp2,1.0,105,-2.924495292796616
dz,mp3,1.0,105,-0.15394267032986492
dz,mp2,1.0,110,-2.9232477241459147
dz,mp3,1.0,110,-0.15422374718840856
dz,mp2,1.0,115,-2.922050044759147
dz,mp3,1.0,115,-0.15449626920367107
dz,mp2,1.0,120,-2.920947219077182
