Basis,Method,X,Angle,Energy
dz,mp2,1.0,19,-2.914659474211265
dz,mp3,1.0,19,0.061812968282572205
dz,mp2,1.0,17,-2.8945169668088337
dz,mp3,1.0,17,0.05163266843779644
dz,mp2,1.0,15,-2.8965719910272365
dz,mp3,1.0,15,0.05216914248200925
dz,mp2,1.0,13,-2.8993426759795344
dz,mp3,1.0,13,0.052830944162729286
dz,mp2,1.0,12,-2.9091591826611114
dz,mp3,1.0,12,0.056324546531218725
dz,mp2,1.0,11,-2.9034570189476776
dz,mp3,1.0,11,0.05391497201690534
dz,mp2,1.0,10,-2.9117033651379325
dz,mp3,1.0,10,0.056880493722626185
dz,mp2,1.0,9,-2.9081050293840245
dz,mp3,1.0,9,0.05530775031331161
dz,mp2,1.0,8,-2.9150904816630914
dz,mp3,1.0,8,0.058012888162765064
dz,mp2,1.0,7,-2.9123852790314113
dz,mp3,1.0,7,0.056923969904464404
dz,mp2,1.0,6,-2.9192955686865387
dz,mp3,1.0,6,0.05996046238237084
dz,mp2,1.0,5,-2.9153450349086363
dz,mp3,1.0,5,0.058541773406697056
dz,mp2,1.0,4,-2.922761590766099
dz,mp3,1.0,4,0.062290230395979335
dz,mp2,1.0,3,-2.9168094656415486
dz,mp3,1.0,3,0.0602611129609083
dz,mp2,1.0,2,-2.9199923631438764
dz,mp3,1.0,2,0.0626077284080609
dz,mp2,1.0,1,-2.916448954207916
dz,mp3,1.0,1,0.061920327501155975
dz,mp2,1.0,21,-2.91445856743646
dz,mp3,1.0,21,0.06253085597503287
dz,mp2,1.0,22,-2.9109380464333845
dz,mp3,1.0,22,0.06099511071778593
dz,mp2,1.0,23,-2.9136628275421272
dz,mp3,1.0,23,0.062368263798914005
dz,mp2,1.0,24,-2.909606596929828
dz,mp3,1.0,24,0.06070162623726108
dz,mp2,1.0,25,-2.9092694791227585
dz,mp3,1.0,25,0.06088900035684694
dz,mp2,1.0,26,-2.905670054423101
dz,mp3,1.0,26,0.05977101302135979
dz,mp2,1.0,27,-2.9038171420208414
dz,mp3,1.0,27,0.05959266102285464
dz,mp2,1.0,28,-2.8996931511644317
dz,mp3,1.0,28,0.058516346640725414
dz,mp2,1.0,29,-2.898258598097371
dz,mp3,1.0,29,0.058468642894193235
dz,mp2,1.0,31,-2.8965438800645753
dz,mp3,1.0,31,0.05810131403815838
dz,mp2,1.0,34,-2.8948456660187913
dz,mp3,1.0,34,0.05752994515168145
dz,mp2,1.0,38,-2.894398588907509
dz,mp3,1.0,38,0.05741999696473781
dz,mp2,1.0,44,-2.893839193916337
dz,mp3,1.0,44,0.057291048594633624
dz,mp2,1.0,52,-2.8932425008112976
dz,mp3,1.0,52,0.05716058910886708
dz,mp2,1.0,60,-2.892772777552311
dz,mp3,1.0,60,0.05706085822018901
dz,mp2,1.0,69,-2.8928304626475754
dz,mp3,1.0,69,0.05714499825700321
dz,mp2a,1.0,19,-2.803842488375637
dz,mp2b,1.0,19,-2.853451054068142
dz,mp3b,1.0,19,0.05479086547779405
dz,mp3d,1.0,19,0.029446283028200654
dz,mp2a,1.0,17,-2.7918235924793544
dz,mp2b,1.0,17,-2.840974521765942
dz,mp3b,1.0,17,0.04668774090248051
dz,mp3d,1.0,17,0.021630676757927014
dz,mp2a,1.0,15,-2.79152848313342
dz,mp2b,1.0,15,-2.840745686934141
dz,mp3b,1.0,15,0.04745036534685654
dz,mp3d,1.0,15,0.022259532985031305
dz,mp2a,1.0,13,-2.7885522928964948
dz,mp2b,1.0,13,-2.837477813461357
dz,mp3b,1.0,13,0.047438109540840545
dz,mp3d,1.0,13,0.022513766856925993
dz,mp2a,1.0,12,-2.8030092922211
dz,mp2b,1.0,12,-2.8523608710856814
dz,mp3b,1.0,12,0.051033033273611916
dz,mp3d,1.0,12,0.0257599678321066
dz,mp2a,1.0,11,-2.800235614672231
dz,mp2b,1.0,11,-2.8490467995422275
dz,mp3b,1.0,11,0.049708299273649836
dz,mp3d,1.0,11,0.02470478856398997
dz,mp2a,1.0,10,-2.8113428145815345
dz,mp2b,1.0,10,-2.8602200256934003
dz,mp3b,1.0,10,0.052941231634654334
dz,mp3d,1.0,10,0.02768678548379161
dz,mp2a,1.0,9,-2.8129454716662643
dz,mp2b,1.0,9,-2.8624913678044237
dz,mp3b,1.0,9,0.05133685419538117
dz,mp3d,1.0,9,0.02598599174145233
dz,mp2a,1.0,8,-2.8133583612496866
dz,mp2b,1.0,8,-2.8622417565662626
dz,mp3b,1.0,8,0.053625654765177444
dz,mp3d,1.0,8,0.028247201525458676
dz,mp2a,1.0,7,-2.8070136301021735
dz,mp2b,1.0,7,-2.856223560933424
dz,mp3b,1.0,7,0.053279787721609406
dz,mp3d,1.0,7,0.027685061783342846
dz,mp2a,1.0,6,-2.8151565546815203
dz,mp2b,1.0,6,-2.865292137209888
dz,mp3b,1.0,6,0.05345784198854936
dz,mp3d,1.0,6,0.027663743443426814
dz,mp2a,1.0,5,-2.815265526011279
dz,mp2b,1.0,5,-2.865663670291272
dz,mp3b,1.0,5,0.055731770332982544
dz,mp3d,1.0,5,0.030192698665448825
dz,mp2a,1.0,4,-2.8188799286005297
dz,mp2b,1.0,4,-2.8688582902798196
dz,mp3b,1.0,4,0.056910330442514145
dz,mp3d,1.0,4,0.03130345551633429
dz,mp2a,1.0,3,-2.8089464941153413
dz,mp2b,1.0,3,-2.8589149046846334
dz,mp3b,1.0,3,0.053532250693682115
dz,mp3d,1.0,3,0.0281428553029357
dz,mp2a,1.0,2,-2.8137492892666196
dz,mp2b,1.0,2,-2.863781194415086
dz,mp3b,1.0,2,0.05642585978099787
dz,mp3d,1.0,2,0.03112420496758983
dz,mp2a,1.0,1,-2.8095633114991383
dz,mp2b,1.0,1,-2.8595463778596586
dz,mp3b,1.0,1,0.05631394525323463
dz,mp3d,1.0,1,0.031042811742650223
dz,mp2a,1.0,21,-2.801308090396609
dz,mp2b,1.0,21,-2.8507392701347944
dz,mp3b,1.0,21,0.05728199601286754
dz,mp3d,1.0,21,0.031894332204156994
dz,mp2a,1.0,22,-2.7960808478967314
dz,mp2b,1.0,22,-2.8458207327164944
dz,mp3b,1.0,22,0.0530556621476575
dz,mp3d,1.0,22,0.027510324625303284
dz,mp2a,1.0,23,-2.8025833314147324
dz,mp2b,1.0,23,-2.851326568396837
dz,mp3b,1.0,23,0.056574581039826266
dz,mp3d,1.0,23,0.03141938453012097
dz,mp2a,1.0,24,-2.797220617344565
dz,mp2b,1.0,24,-2.8456949904880338
dz,mp3b,1.0,24,0.0532006788024762
dz,mp3d,1.0,24,0.02781483784703309
dz,mp2a,1.0,25,-2.7874443616982747
dz,mp2b,1.0,25,-2.835218161963628
dz,mp3b,1.0,25,0.05188854319570446
dz,mp3d,1.0,25,0.026666115910900817
dz,mp2a,1.0,26,-2.784089926034353
dz,mp2b,1.0,26,-2.831818623406135
