Basis,Method,X,Angle,Energy
dz,mp2,1.0,0,-2.899877610182703
dz,mp3,1.0,0,0.053923898093475066
dz,mp2,1.0,5,-2.8998978239747566
dz,mp3,1.0,5,0.05392313535343323
dz,mp2,1.0,10,-2.899909008571468
dz,mp3,1.0,10,0.05391173015718446
dz,mp2,1.0,15,-2.89988081533764
dz,mp3,1.0,15,0.05387737928070913
dz,mp2,1.0,20,-2.899824114149479
dz,mp3,1.0,20,0.0538249342600616
dz,mp2,1.0,25,-2.8997246227013003
dz,mp3,1.0,25,0.05374967097955365
dz,mp2,1.0,30,-2.899609630307632
dz,mp3,1.0,30,0.05366448935114242
dz,mp2,1.0,35,-2.8994589088871345
dz,mp3,1.0,35,0.05356206598745059
dz,mp2,1.0,40,-2.8992725314023646
dz,mp3,1.0,40,0.05344210898939413
dz,mp2,1.0,45,-2.899163208907631
dz,mp3,1.0,45,0.05334067202883437
dz,mp2,1.0,50,-2.8990150636702805
dz,mp3,1.0,50,0.05322323053464737
dz,mp2,1.0,55,-2.8986856317368708
dz,mp3,1.0,55,0.05305263854830217
dz,mp2,1.0,60,-2.898371679467399
dz,mp3,1.0,60,0.0528884698921322
dz,mp2,1.0,65,-2.8980065761963756
dz,mp3,1.0,65,0.052706697905052155
dz,mp2,1.0,70,-2.8977371966584187
dz,mp3,1.0,70,0.052542798200980706
dz,mp2,1.0,75,-2.8977327007031186
dz,mp3,1.0,75,0.052460484724436235
dz,mp2,1.0,80,-2.897804064724726
dz,mp3,1.0,80,0.05242735760983961
dz,mp2,1.0,85,-2.8978749407167252
dz,mp3,1.0,85,0.052402481686710724
dz,mp2,1.0,90,-2.898039384878842
dz,mp3,1.0,90,0.052411617909826444
dz,mp2,1.0,95,-2.8982939646235235
dz,mp3,1.0,95,0.05247169286426098
dz,mp2,1.0,100,-2.898541767995801
dz,mp3,1.0,100,0.05253359495176893
dz,mp2,1.0,105,-2.898774009928917
dz,mp3,1.0,105,0.05259968199104782
dz,mp2,1.0,110,-2.899043943086586
dz,mp3,1.0,110,0.05268961238399655
dz,mp2,1.0,115,-2.899336073236677
dz,mp3,1.0,115,0.05279834373270916
dz,mp2,1.0,120,-2.899608088246523
dz,mp3,1.0,120,0.052912641711350676
dz,mp2,1.0,125,-2.899915924523533
dz,mp3,1.0,125,0.05303787382521293
dz,mp2,1.0,130,-2.9002542729641747
dz,mp3,1.0,130,0.0531729280927588
dz,mp2,1.0,135,-2.9006063223688234
dz,mp3,1.0,135,0.05332109755841788
dz,mp2,1.0,140,-2.900926783603546
dz,mp3,1.0,140,0.05346226308815896
dz,mp2,1.0,145,-2.9011957504223957
dz,mp3,1.0,145,0.053594631987051375
dz,mp2,1.0,150,-2.9013929544667034
dz,mp3,1.0,150,0.053708975901716846
dz,mp2,1.0,155,-2.9014842985649394
dz,mp3,1.0,155,0.053796150314457114
