Basis,Method,X,Angle,Energy
dz,mp2,1.0,A,-1.1854776731197378
dz,mp3,1.0,A,-0.013751556550779306
dz,mp2,1.0,AB,-2.633117266340089
dz,mp3,1.0,AB,-0.02860093446511276
dz,mp2,1.0,Acp,-1.1881808142166081
dz,mp3,1.0,Acp,-0.013109436990531222
dz,mp2,1.0,Acpgrid,-1.1881808142166081
dz,mp3,1.0,Acpgrid,-0.013109436990531222
dz,mp2,1.0,B,-1.4385343389642589
dz,mp3,1.0,B,-0.016526558443251405
dz,mp2,1.0,Bcp,-1.440787470649994
dz,mp3,1.0,Bcp,-0.016045959009172633
dz,mp2,1.0,Bcpgrid,-1.440787470649994
dz,mp3,1.0,Bcpgrid,-0.016045959009172633
dz,mp2a,1.0,A,-1.141723986142616
dz,mp2b,1.0,A,-1.1619950845331695
dz,mp3b,1.0,A,-0.010446501724012139
dz,mp3d,1.0,A,-0.020266921978472505
dz,mp2a,1.0,AB,-2.5202954289673034
dz,mp2b,1.0,AB,-2.570686084045696
dz,mp3b,1.0,AB,-0.02416079638682339
dz,mp3d,1.0,AB,-0.04663079072334517
dz,mp2a,1.0,Acp,-1.1436718580269651
dz,mp2b,1.0,Acp,-1.1646807394637526
dz,mp3b,1.0,Acp,0.6373058019208124
dz,mp3d,1.0,Acp,0.6289138449468883
dz,mp2a,1.0,Acpgrid,-1.1384337322148979
dz,mp2b,1.0,Acpgrid,-1.159142034458768
dz,mp3b,1.0,Acpgrid,0.08695655165974776
dz,mp3d,1.0,Acpgrid,0.07636351730612734
dz,mp2a,1.0,B,-1.3998940080581548
dz,mp2b,1.0,B,-1.4286318695983549
dz,mp3b,1.0,B,-0.01244442549184989
dz,mp3d,1.0,B,-0.024453567106507368
dz,mp2a,1.0,Bcp,-1.4025324364577083
dz,mp2b,1.0,Bcp,-1.4309545118260258
dz,mp3b,1.0,Bcp,0.7840389919706984
dz,mp3d,1.0,Bcp,0.7739463243414751
dz,mp2a,1.0,Bcpgrid,-1.40324759930254
dz,mp2b,1.0,Bcpgrid,-1.4318707435933704
dz,mp3b,1.0,Bcpgrid,0.4217651377051972
dz,mp3d,1.0,Bcpgrid,0.4096215285719129
dz,mp2a,1.2,A,-1.1702599541464858
dz,mp2b,1.2,A,-1.1892141697809322
dz,mp3b,1.2,A,-0.009237586880042434
dz,mp3d,1.2,A,-0.01847054828800561
dz,mp2a,1.2,AB,-2.5928287984569485
dz,mp2b,1.2,AB,-2.6397211115468124
dz,mp3b,1.2,AB,-0.020097816328408374
dz,mp3d,1.2,AB,-0.04090206820545106
dz,mp2a,1.2,Acp,-1.1712287827485066
dz,mp2b,1.2,Acp,-1.190708392315675
dz,mp3b,1.2,Acp,0.6583683664462393
dz,mp3d,1.2,Acp,0.651236700722476
dz,mp2a,1.2,Acpgrid,-1.1709661316739477
dz,mp2b,1.2,Acpgrid,-1.1901693102899147
dz,mp3b,1.2,Acpgrid,0.013661845955128357
dz,mp3d,1.2,Acpgrid,0.0043450032510139736
dz,mp2a,1.2,B,-1.4224849943095386
dz,mp2b,1.2,B,-1.448838561641418
dz,mp3b,1.2,B,-0.010628663122580456
dz,mp3d,1.2,B,-0.021834244256230262
dz,mp2a,1.2,Bcp,-1.4254108357066078
dz,mp2b,1.2,Bcp,-1.4517902645176752
dz,mp3b,1.2,Bcp,0.8034294242073718
dz,mp3d,1.2,Bcp,0.7942484124660156
dz,mp2a,1.2,Bcpgrid,-1.4248359727846456
dz,mp2b,1.2,Bcpgrid,-1.4512163553569901
dz,mp3b,1.2,Bcpgrid,0.0553569248936398
dz,mp3d,1.2,Bcpgrid,0.043713224671689505
dz,mp2a,1.4,A,-1.1780455913468306
dz,mp2b,1.4,A,-1.1954308574642671
dz,mp3b,1.4,A,-0.009379910332972446
dz,mp3d,1.4,A,-0.018068113417023357
dz,mp2a,1.4,AB,-2.6141224511680914
dz,mp2b,1.4,AB,-2.6567882158403213
dz,mp3b,1.4,AB,-0.020108262209332928
dz,mp3d,1.4,AB,-0.03959064182002717
dz,mp2a,1.4,Acp,-1.1817423567219905
dz,mp2b,1.4,Acp,-1.199105697385225
dz,mp3b,1.4,Acp,0.6655156298865795
dz,mp3d,1.4,Acp,0.6592023911414626
dz,mp2a,1.4,Acpgrid,-1.1815201169462688
dz,mp2b,1.4,Acpgrid,-1.1988007846196016
dz,mp3b,1.4,Acpgrid,-0.007944142573580656
dz,mp3d,1.4,Acpgrid,-0.016655065739936664
dz,mp2a,1.4,B,-1.43153608275793
dz,mp2b,1.4,B,-1.4549761617117112
dz,mp3b,1.4,B,-0.011093339423750792
dz,mp3d,1.4,B,-0.02146091018767554
dz,mp2a,1.4,Bcp,-1.4333065687006088
dz,mp2b,1.4,Bcp,-1.457042550921325
dz,mp3b,1.4,Bcp,0.808937678130989
dz,mp3d,1.4,Bcp,0.8003826707379971
dz,mp2a,1.4,Bcpgrid,-1.4323990365396497
dz,mp2b,1.4,Bcpgrid,-1.456204014138211
dz,mp3b,1.4,Bcpgrid,0.0023662005163623268
dz,mp3d,1.4,Bcpgrid,-0.008225472202615713
dz,mp2a,1.6,A,-1.1819091998700442
dz,mp2b,1.6,A,-1.1967663382666036
dz,mp3b,1.6,A,-0.010234378061640112
dz,mp3d,1.6,A,-0.018241354210251415
dz,mp2a,1.6,AB,-2.625730548594168
dz,mp2b,1.6,AB,-2.6629033183628863
dz,mp3b,1.6,AB,-0.020807403590463097
dz,mp3d,1.6,AB,-0.03878467465350349
dz,mp2a,1.6,Acp,-1.1856372545116727
dz,mp2b,1.6,Acp,-1.2001735210638032
dz,mp3b,1.6,Acp,0.6663208867462296
dz,mp3d,1.6,Acp,0.6606975444435556
dz,mp2a,1.6,Acpgrid,-1.1852996080217824
dz,mp2b,1.6,Acpgrid,-1.200113182467648
dz,mp3b,1.6,Acpgrid,-0.00766212837373699
dz,mp3d,1.6,Acpgrid,-0.01575903733799576
dz,mp2a,1.6,B,-1.4354307632797134
dz,mp2b,1.6,B,-1.4553967337876639
dz,mp3b,1.6,B,-0.01199363933445391
dz,mp3d,1.6,B,-0.021475950648110156
dz,mp2a,1.6,Bcp,-1.4380040362508288
dz,mp2b,1.6,Bcp,-1.457611402891948
dz,mp3b,1.6,Bcp,0.809806170923147
dz,mp3d,1.6,Bcp,0.8022051785047706
dz,mp2a,1.6,Bcpgrid,-1.4381138963197266
dz,mp2b,1.6,Bcpgrid,-1.4579585174791112
dz,mp3b,1.6,Bcpgrid,-0.009435071245970345
dz,mp3d,1.6,Bcpgrid,-0.018996645378775434
dz,mp2a,1.8,A,-1.1845542051107707
dz,mp2b,1.8,A,-1.1958462551081281
dz,mp3b,1.8,A,-0.011876696907076587
dz,mp3d,1.8,A,-0.01891772032611408
dz,mp2a,1.8,AB,-2.6316038399824504
dz,mp2b,1.8,AB,-2.6608132824518984
dz,mp3b,1.8,AB,-0.02346867971834493
dz,mp3d,1.8,AB,-0.039523114910023194
dz,mp2a,1.8,Acp,-1.187709209843951
dz,mp2b,1.8,Acp,-1.1992090961091688
dz,mp3b,1.8,Acp,0.6653672038705364
dz,mp3d,1.8,Acp,0.6604668667691009
dz,mp2a,1.8,Acpgrid,-1.1874318725713384
dz,mp2b,1.8,Acpgrid,-1.1988080361634523
dz,mp3b,1.8,Acpgrid,-0.010297742546886979
dz,mp3d,1.8,Acpgrid,-0.017501186985255712
dz,mp2a,1.8,B,-1.4379005374571383
dz,mp2b,1.8,B,-1.4538241729991424
dz,mp3b,1.8,B,-0.013489531730610876
dz,mp3d,1.8,B,-0.021918783347294496
dz,mp2a,1.8,Bcp,-1.4402238345122012
dz,mp2b,1.8,Bcp,-1.4559225359459558
dz,mp3b,1.8,Bcp,0.8082966014389927
dz,mp3d,1.8,Bcp,0.8015870176550745
dz,mp2a,1.8,Bcpgrid,-1.440190980650279
dz,mp2b,1.8,Bcpgrid,-1.4560527715839064
dz,mp3b,1.8,Bcpgrid,-0.010807498192036136
dz,mp3d,1.8,Bcpgrid,-0.01929253969135042
dz,mp2a,2.0,A,-1.1852257254788354
dz,mp2b,2.0,A,-1.193701228256075
dz,mp3b,2.0,A,-0.012737200379798433
dz,mp3d,2.0,A,-0.019129258171155045
dz,mp2a,2.0,AB,-2.632624112483848
dz,mp2b,2.0,AB,-2.6551404999413117
dz,mp3b,2.0,AB,-0.025153774317442562
dz,mp3d,2.0,AB,-0.039539958970100264
dz,mp2a,2.0,Acp,-1.1880290494429495
dz,mp2b,2.0,Acp,-1.1968057660720954
dz,mp3b,2.0,Acp,0.6630558362957517
dz,mp3d,2.0,Acp,0.6587884381961857
dz,mp2a,2.0,Acpgrid,-1.1879819074619944
dz,mp2b,2.0,Acpgrid,-1.1965604986302838
dz,mp3b,2.0,Acpgrid,-0.011110155132314753
dz,mp3d,2.0,Acpgrid,-0.01751146795323584
dz,mp2a,2.0,B,-1.4382683226633393
dz,mp2b,2.0,B,-1.450462063344865
dz,mp3b,2.0,B,-0.014445012960773801
dz,mp3d,2.0,B,-0.02189578150536664
dz,mp2a,2.0,Bcp,-1.4405714213265024
dz,mp2b,2.0,Bcp,-1.4530761973429878
dz,mp3b,2.0,Bcp,0.8058746635406923
dz,mp3d,2.0,Bcp,0.7999208551424078
dz,mp2a,2.0,Bcpgrid,-1.4405348758086618
dz,mp2b,2.0,Bcpgrid,-1.4527715155319525
dz,mp3b,2.0,Bcpgrid,-0.01276571052033168
dz,mp3d,2.0,Bcpgrid,-0.020197283173043867
dz,mp2a,2.2,A,-1.1853967673487311
dz,mp2b,2.2,A,-1.1918425802947876
dz,mp3b,2.2,A,-0.013049305719982585
dz,mp3d,2.2,A,-0.01883020302684657
dz,mp2a,2.2,AB,-2.6329066306452447
dz,mp2b,2.2,AB,-2.650402197165299
dz,mp3b,2.2,AB,-0.026265179211694772
dz,mp3d,2.2,AB,-0.039170405185178336
dz,mp2a,2.2,Acp,-1.1881220702278166
dz,mp2b,2.2,Acp,-1.1947796763978622
dz,mp3b,2.2,Acp,0.2771043688737973
dz,mp3d,2.2,Acp,0.27213147024346995
dz,mp2a,2.2,Acpgrid,-1.188096727260708
dz,mp2b,2.2,Acpgrid,-1.194733799169321
dz,mp3b,2.2,Acpgrid,-0.011998751480063893
dz,mp3d,2.2,Acpgrid,-0.017771391594202837
dz,mp2a,2.2,B,-1.438383656531613
dz,mp2b,2.2,B,-1.4477772011380736
dz,mp3b,2.2,B,-0.015065907903537568
dz,mp3d,2.2,B,-0.02167515384714136
dz,mp2a,2.2,Bcp,-1.4406957505348759
dz,mp2b,2.2,Bcp,-1.4502753023924626
dz,mp3b,2.2,Bcp,0.3760397787828904
dz,mp3d,2.2,Bcp,0.36987392463630403
dz,mp2a,2.2,Bcpgrid,-1.4406883967615447
dz,mp2b,2.2,Bcpgrid,-1.450283038394968
dz,mp3b,2.2,Bcpgrid,-0.01413608709328934
dz,mp3d,2.2,Bcpgrid,-0.020818961545389147
dz,mp2a,2.4,A,-1.1854291123215208
dz,mp2b,2.4,A,-1.190358629463874
